hypothesis_id	hypothesis_name	dimension	source_id	cycle_pf	delta_pf	total_pnl_ticks	delta_pnl	n_cycles	win_rate	sharpe	max_drawdown_ticks	avg_winner_ticks	avg_loser_ticks	beats_baseline	feature_compute_sec	simulator_sec	total_sec	classification
H7	ZZ Oscillator gating	C	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0263	5.9834	6.0764	OK
H7	ZZ Oscillator gating	C	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1117	8.0995	8.2112	OK
H11	Time-of-day conditioning	C	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.03	6.4133	6.5146	OK
H11	Time-of-day conditioning	C	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.027	6.0864	6.1802	OK
H11	Time-of-day conditioning	C	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1207	8.2284	8.3492	OK
H12	Day-of-week conditioning	C	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0302	6.4421	6.5444	OK
H12	Day-of-week conditioning	C	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0275	6.1232	6.2202	OK
H12	Day-of-week conditioning	C	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1179	8.1653	8.2832	OK
H16	Bar formation quality filter	C	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0289	6.4463	6.5477	OK
H16	Bar formation quality filter	C	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0262	5.9976	6.0903	OK
H16	Bar formation quality filter	C	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1084	8.0399	8.1483	OK
H17	Cycle performance feedback	C	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0294	7.0287	7.1299	OK
H17	Cycle performance feedback	C	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0277	6.622	6.7173	OK
H17	Cycle performance feedback	C	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1122	8.9318	9.0441	OK
H33	PriceSpeed filter	C	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0406	6.4152	6.5273	OK
H33	PriceSpeed filter	C	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0382	6.0713	6.177	OK
H33	PriceSpeed filter	C	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1318	8.1146	8.2464	OK
H34	Absorption rate proxy	C	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0466	6.6545	6.7765	OK
H34	Absorption rate proxy	C	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0378	6.1506	6.2546	OK
H34	Absorption rate proxy	C	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1469	8.2861	8.433	OK
H35	Imbalance trend	C	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	4.2924	8.4816	12.8454	OK
H35	Imbalance trend	C	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	4.0023	7.8948	11.9655	OK
H35	Imbalance trend	C	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	19.8956	10.8932	30.7888	OK
