cpp_time,py_time,time_delta_s,cpp_dir,py_dir,dir_ok,cpp_sd,py_sd,sd_delta,cpp_ad,py_ad,ad_delta,cpp_pnl,py_pnl,pnl_delta,cpp_exit,py_exit,cpp_adds,py_adds,cpp_cw,py_cw
2026-03-19 10:09:10,2026-03-19 10:09:10.057001,0.057001,SHORT,LONG,False,27.02,18.525,8.495000000000001,22.12,15.5,6.620000000000001,-54.0,90.0,144.0,reversal,reversal,1,1,1,0
2026-03-19 14:08:40,2026-03-19 14:08:39.886000,0.114,SHORT,SHORT,True,22.75,18.525,4.225000000000001,18.0,15.5,2.5,-38.0,-214.0,176.0,reversal,reversal,1,1,1,2
2026-03-19 15:08:20,2026-03-19 15:08:17.539001,2.460999,SHORT,SHORT,True,30.02,18.525,11.495000000000001,21.5,15.5,6.0,121.0,90.0,31.0,reversal,reversal,0,1,0,0
2026-03-19 15:10:12,2026-03-19 15:10:07.995000,4.005,LONG,LONG,True,31.77,18.525,13.245000000000001,21.81,15.5,6.309999999999999,136.0,87.0,49.0,reversal,reversal,0,1,0,0
2026-03-19 15:19:05,2026-03-19 15:19:01.799003,3.200997,LONG,LONG,True,24.52,18.525,5.995000000000001,19.25,15.5,3.75,104.0,76.0,28.0,reversal,reversal,0,0,0,0
2026-03-19 15:34:08,2026-03-19 15:34:06.108000,1.892,SHORT,SHORT,True,21.0,18.525,2.4750000000000014,16.0,15.5,0.5,83.0,75.0,8.0,reversal,reversal,0,0,0,0
2026-03-19 15:34:26,2026-03-19 15:34:28.199000,2.199,LONG,LONG,True,21.5,18.525,2.9750000000000014,17.06,15.5,1.5599999999999987,-38.0,-63.0,25.0,reversal,reversal,1,1,1,1
2026-03-19 15:37:18,2026-03-19 15:37:19.188000,1.188,SHORT,SHORT,True,31.58,18.525,13.055,22.0,15.5,6.5,86.0,88.0,2.0,reversal,reversal,1,1,0,0
