config_id,cycle_id,start_time,end_time,side,position_size,add_count,avg_entry,last_price,unrealized_pnl_ticks,exit_type,progress_hwm,cycle_day_seq
FA_SD25_R05_MA1_RT100,11,2025-09-22 15:53:16.406000,2025-09-22 16:14:59.801000,LONG,1,0,24990.5,24986.75,-15.0,SESSION_END,98.0,11
FA_SD25_R05_MA1_RT100,31,2025-09-23 16:02:44.479000,2025-09-23 16:14:58.531002,LONG,2,1,24844.75,24836.0,-70.0,SESSION_END,21.0,20
FA_SD25_R05_MA1_RT100,59,2025-09-24 15:50:00.066011,2025-09-24 16:14:59.916000,LONG,1,0,24735.25,24751.0,63.0,SESSION_END,77.0,28
FA_SD25_R05_MA1_RT100,109,2025-09-25 15:54:20.886000,2025-09-25 16:14:59.975000,LONG,1,0,24626.25,24624.75,-6.0,SESSION_END,80.0,50
FA_SD25_R05_MA1_RT100,166,2025-09-26 15:54:44.034005,2025-09-26 16:14:59.400000,SHORT,2,1,24736.0,24744.5,-68.0,SESSION_END,67.0,57
FA_SD25_R05_MA1_RT100,191,2025-09-29 15:40:45.246010,2025-09-29 16:14:59.958001,LONG,1,0,24825.75,24829.5,15.0,SESSION_END,90.0,25
FA_SD25_R05_MA1_RT100,235,2025-09-30 16:05:01.204010,2025-09-30 16:14:59.908000,LONG,2,1,24864.25,24858.25,-48.0,SESSION_END,30.0,44
FA_SD25_R05_MA1_RT100,259,2025-10-01 14:09:37.902084,2025-10-01 16:14:56.360000,SHORT,2,1,25019.25,24995.25,192.0,SESSION_END,81.0,24
FA_SD25_R05_MA1_RT100,281,2025-10-02 14:26:45.109000,2025-10-02 16:14:59.739000,LONG,2,1,25109.0,25119.75,86.0,SESSION_END,45.0,22
FA_SD25_R05_MA1_RT100,321,2025-10-03 15:57:26.218000,2025-10-03 16:14:58.258001,SHORT,2,1,24990.5,24982.25,66.0,SESSION_END,42.0,40
FA_SD25_R05_MA1_RT100,342,2025-10-06 15:47:51.804000,2025-10-06 16:14:59.227000,SHORT,2,1,25195.75,25177.0,150.0,SESSION_END,58.0,21
FA_SD25_R05_MA1_RT100,383,2025-10-07 16:01:06.018000,2025-10-07 16:14:59.067000,LONG,1,0,25062.0,25058.75,-13.0,SESSION_END,28.0,41
FA_SD25_R05_MA1_RT100,397,2025-10-08 15:54:40.019006,2025-10-08 16:14:59.148000,SHORT,2,1,25336.0,25332.75,26.0,SESSION_END,37.0,14
FA_SD25_R05_MA1_RT100,427,2025-10-09 15:38:49.447000,2025-10-09 16:14:57.965000,LONG,1,0,25279.0,25285.0,24.0,SESSION_END,83.0,30
FA_SD25_R05_MA1_RT100,680,2025-10-10 16:12:46.545000,2025-10-10 16:14:59.357000,LONG,1,0,24440.0,24442.0,8.0,SESSION_END,32.0,253
FA_SD25_R05_MA1_RT100,741,2025-10-13 16:05:27.744000,2025-10-13 16:14:56.794002,SHORT,2,1,24906.0,24915.5,-76.0,SESSION_END,3.0,61
FA_SD25_R05_MA1_RT100,846,2025-10-14 16:08:19.578000,2025-10-14 16:14:58.161001,SHORT,2,1,24719.25,24730.25,-88.0,SESSION_END,48.0,105
FA_SD25_R05_MA1_RT100,934,2025-10-15 16:01:17.205000,2025-10-15 16:14:59.909001,LONG,2,1,24944.75,24942.25,-20.0,SESSION_END,53.0,88
FA_SD25_R05_MA1_RT100,1107,2025-10-16 16:12:20.086003,2025-10-16 16:14:59.911000,LONG,2,1,24765.25,24754.25,-88.0,SESSION_END,8.0,173
FA_SD25_R05_MA1_RT100,1248,2025-10-17 16:05:05.093000,2025-10-17 16:14:59.062001,LONG,1,0,25012.0,25010.75,-5.0,SESSION_END,16.0,141
FA_SD25_R05_MA1_RT100,1270,2025-10-20 16:11:37.525022,2025-10-20 16:14:57.096000,SHORT,1,0,25318.75,25316.5,9.0,SESSION_END,28.0,22
FA_SD25_R05_MA1_RT100,1302,2025-10-21 16:02:33.305001,2025-10-21 16:14:58.569002,LONG,2,1,25244.25,25244.75,4.0,SESSION_END,21.0,32
FA_SD25_R05_MA1_RT100,1428,2025-10-22 16:02:38.551038,2025-10-22 16:14:59.827000,LONG,2,1,25058.5,25054.5,-32.0,SESSION_END,46.0,126
FA_SD25_R05_MA1_RT100,1474,2025-10-23 16:04:04.397005,2025-10-23 16:14:59.977000,SHORT,2,1,25272.5,25268.0,36.0,SESSION_END,53.0,46
FA_SD25_R05_MA1_RT100,1498,2025-10-24 15:56:54.961000,2025-10-24 16:14:59.420000,LONG,2,1,25510.75,25506.5,-34.0,SESSION_END,28.0,24
FA_SD25_R05_MA1_RT100,1516,2025-10-27 15:51:26.946002,2025-10-27 16:14:59.986004,SHORT,2,1,25972.25,25973.75,-12.0,SESSION_END,24.0,18
FA_SD25_R05_MA1_RT100,1542,2025-10-28 16:00:14.455000,2025-10-28 16:14:59.466000,SHORT,2,1,26158.25,26157.0,10.0,SESSION_END,6.0,26
