config_id,step_dist,add_dist,max_adds,reversal_target,cycle_id,start_time,end_time,duration_bars,duration_minutes,start_bar_idx,end_bar_idx,side,add_count,exit_position,pnl_ticks_gross,pnl_ticks_net,mfe_points,mae_points,atr_20bar,atr_percentile,swing_median_20,swing_p90_20,directional_persistence,bar_range_median_20,exit_type,progress_hwm,time_between_adds,cycle_day_seq,cycle_start_hour,progress_at_adds,prev_cycle_exit_type,cycle_waste_pct,would_flatten_reseed,half_block_profit
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,1,2025-09-22 09:32:23.092005,2025-09-22 09:54:57.584000,37054,22.57,8702,45755,LONG,0,1,112.0,106.0,28.0,-29.0,5.5625,76.47058823529412,8.25,13.0,0.0,5.5,SUCCESS,80.0,,1,9,,SESSION_START,187.9643,False,68.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,2,2025-09-22 09:54:57.584000,2025-09-22 10:40:35.640000,47729,45.63,45755,93483,SHORT,0,1,-140.0,-144.0,23.5,-35.0,4.35,23.626373626373628,9.625,15.375000000000009,1.0,3.5,FAILURE,67.14,,2,9,,SUCCESS,165.1143,False,70.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,3,2025-09-22 10:40:35.640000,2025-09-22 12:09:56.249160,69943,89.34,93483,163425,LONG,0,1,112.0,108.0,28.0,-16.25,3.7125,9.383378016085791,9.625,21.400000000000002,1.0,3.5,SUCCESS,80.0,,3,10,,FAILURE,274.9464,False,70.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,4,2025-09-22 12:09:56.249160,2025-09-22 12:30:24.488003,25954,20.47,163425,189378,SHORT,0,1,-140.0,-144.0,6.5,-35.0,3.925,54.1,10.0,15.925000000000002,1.0,3.5,FAILURE,18.57,,4,12,,SUCCESS,89.2429,False,
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,5,2025-09-22 12:30:24.488003,2025-09-22 14:16:39.004016,67878,106.24,189378,257255,LONG,0,1,112.0,108.0,28.0,-5.0,3.725,43.2,10.25,17.650000000000002,1.0,3.625,SUCCESS,80.0,,5,12,,FAILURE,253.0,False,70.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,7,2025-09-23 09:40:55.281000,2025-09-23 09:58:15.715009,29127,17.34,372972,402098,SHORT,0,1,112.0,106.0,28.0,-5.5,4.2125,77.80000000000001,11.625,19.250000000000004,1.0,3.625,SUCCESS,80.0,,1,9,,SESSION_START,169.7143,False,68.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,8,2025-09-23 09:58:15.715009,2025-09-23 10:41:33.510000,52464,43.3,402098,454561,LONG,0,1,112.0,108.0,28.0,-8.5,5.475,91.5,11.625,16.400000000000002,1.0,6.0,SUCCESS,80.0,,2,9,,SUCCESS,269.0714,False,70.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,9,2025-09-23 10:41:33.510000,2025-09-23 10:47:44.904000,8742,6.19,454561,463302,SHORT,0,1,112.0,108.0,28.0,-9.25,4.4875,32.7,10.0,19.025,1.0,4.0,SUCCESS,80.0,,3,10,,SUCCESS,36.8036,False,70.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,10,2025-09-23 10:47:44.904000,2025-09-23 11:13:32.225000,24083,25.79,463302,487384,LONG,0,1,112.0,108.0,28.0,-5.75,3.975,14.4,11.625,20.275000000000006,1.0,3.75,SUCCESS,80.0,,4,10,,SUCCESS,94.5893,False,70.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,11,2025-09-23 11:13:32.225000,2025-09-23 11:40:57.432000,20686,27.42,487384,508069,SHORT,0,1,112.0,108.0,28.0,-3.75,3.5375,0.2,11.75,23.425000000000004,1.0,3.5,SUCCESS,80.0,,5,11,,SUCCESS,77.3214,False,70.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,12,2025-09-23 11:40:57.432000,2025-09-23 13:19:08.224000,77824,98.18,508069,585892,LONG,0,1,-140.0,-144.0,23.25,-35.0,4.2875,38.2,12.0,23.85000000000001,1.0,4.375,FAILURE,66.43,,6,11,,SUCCESS,260.4429,False,70.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,13,2025-09-23 13:19:08.224000,2025-09-23 13:27:27.815000,12536,8.33,585892,598427,SHORT,0,1,112.0,108.0,28.0,-8.5,4.0625,41.6,14.0,19.55,1.0,4.0,SUCCESS,80.0,,7,13,,FAILURE,45.3036,False,70.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,14,2025-09-23 13:27:27.815000,2025-09-23 13:36:13.822000,16067,8.77,598427,614493,LONG,0,1,-140.0,-144.0,5.0,-35.0,4.1875,58.300000000000004,10.375,22.300000000000008,1.0,4.0,FAILURE,14.29,,8,13,,SUCCESS,57.6857,False,
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,15,2025-09-23 13:36:13.822000,2025-09-23 13:40:52.721008,11730,4.65,614493,626222,SHORT,0,1,112.0,108.0,28.0,-1.5,4.675,82.10000000000001,9.625,21.8,1.0,4.375,SUCCESS,80.0,,9,13,,FAILURE,52.7321,False,70.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,16,2025-09-23 13:40:52.721008,2025-09-23 13:49:26.739005,24575,8.57,626222,650796,LONG,0,1,112.0,108.0,28.0,-31.5,3.875,22.1,10.0,22.750000000000007,1.0,3.25,SUCCESS,80.0,,10,13,,SUCCESS,124.6429,False,70.0
FA_SD35_MA0_RT80,35.0,14.0,0,0.8,17,2025-09-23 13:49:26.739005,2025-09-23 14:06:05.357014,22930,16.64,650796,673725,SHORT,0,1,112.0,108.0,28.0,-6.25,4.8875,70.8,11.5,30.475,1.0,4.5,SUCCESS,80.0,,11,13,,SUCCESS,122.8393,False,70.0
