config_id,cycle_id,start_time,end_time,side,position_size,add_count,avg_entry,last_price,unrealized_pnl_ticks,exit_type,progress_hwm,cycle_day_seq
FA_SD25_R04_MA1_RT70,14,2025-09-22 16:00:46.233000,2025-09-22 16:14:59.801000,SHORT,2,1,24990.5,24986.75,30.0,SESSION_END,20.0,14
FA_SD25_R04_MA1_RT70,45,2025-09-23 16:02:33.681000,2025-09-23 16:14:58.531002,SHORT,1,0,24848.5,24836.0,50.0,SESSION_END,56.0,31
FA_SD25_R04_MA1_RT70,82,2025-09-24 15:50:00.044001,2025-09-24 16:14:59.916000,SHORT,2,1,24737.5,24751.0,-108.0,SESSION_END,35.0,37
FA_SD25_R04_MA1_RT70,177,2025-09-25 15:59:07.057000,2025-09-25 16:14:59.975000,SHORT,2,1,24641.25,24624.75,132.0,SESSION_END,67.0,95
FA_SD25_R04_MA1_RT70,249,2025-09-26 16:09:18.641003,2025-09-26 16:14:59.400000,LONG,1,0,24739.5,24744.5,20.0,SESSION_END,23.0,72
FA_SD25_R04_MA1_RT70,282,2025-09-29 15:47:19.961000,2025-09-29 16:14:59.958001,LONG,2,1,24828.25,24829.5,10.0,SESSION_END,60.0,33
FA_SD25_R04_MA1_RT70,340,2025-09-30 16:12:23.362000,2025-09-30 16:14:59.908000,LONG,1,0,24863.5,24858.25,-21.0,SESSION_END,6.0,58
FA_SD25_R04_MA1_RT70,373,2025-10-01 16:00:48.187000,2025-10-01 16:14:56.360000,LONG,1,0,25000.5,24995.25,-21.0,SESSION_END,15.0,33
FA_SD25_R04_MA1_RT70,411,2025-10-02 16:01:28.052019,2025-10-02 16:14:59.739000,LONG,1,0,25122.5,25119.75,-11.0,SESSION_END,11.0,38
FA_SD25_R04_MA1_RT70,462,2025-10-03 16:02:25.859000,2025-10-03 16:14:58.258001,LONG,2,1,24983.5,24982.25,-10.0,SESSION_END,4.0,51
FA_SD25_R04_MA1_RT70,489,2025-10-06 15:48:00.835001,2025-10-06 16:14:59.227000,SHORT,2,1,25194.0,25177.0,136.0,SESSION_END,56.0,27
FA_SD25_R04_MA1_RT70,547,2025-10-07 16:08:05.276000,2025-10-07 16:14:59.067000,SHORT,1,0,25066.75,25058.75,32.0,SESSION_END,40.0,58
FA_SD25_R04_MA1_RT70,571,2025-10-08 15:56:24.562003,2025-10-08 16:14:59.148000,SHORT,1,0,25334.75,25332.75,8.0,SESSION_END,57.0,24
FA_SD25_R04_MA1_RT70,617,2025-10-09 15:50:00.077021,2025-10-09 16:14:57.965000,LONG,2,1,25281.5,25285.0,28.0,SESSION_END,53.0,46
FA_SD25_R04_MA1_RT70,960,2025-10-10 16:13:35.334001,2025-10-10 16:14:59.357000,LONG,1,0,24446.0,24442.0,-16.0,SESSION_END,8.0,343
FA_SD25_R04_MA1_RT70,1050,2025-10-13 16:02:12.789002,2025-10-13 16:14:56.794002,LONG,2,1,24904.5,24915.5,88.0,SESSION_END,43.0,90
FA_SD25_R04_MA1_RT70,1188,2025-10-14 16:07:36.001000,2025-10-14 16:14:58.161001,LONG,2,1,24719.125,24730.25,89.0,SESSION_END,36.0,138
FA_SD25_R04_MA1_RT70,1316,2025-10-15 16:01:17.705059,2025-10-15 16:14:59.909001,LONG,2,1,24952.0,24942.25,-78.0,SESSION_END,29.0,128
FA_SD25_R04_MA1_RT70,1557,2025-10-16 16:12:19.639000,2025-10-16 16:14:59.911000,LONG,2,1,24767.125,24754.25,-103.0,SESSION_END,5.0,241
FA_SD25_R04_MA1_RT70,1734,2025-10-17 16:05:34.223000,2025-10-17 16:14:59.062001,LONG,1,0,25015.0,25010.75,-17.0,SESSION_END,4.0,177
FA_SD25_R04_MA1_RT70,1763,2025-10-20 15:57:06.019000,2025-10-20 16:14:57.096000,LONG,2,1,25308.5,25316.5,64.0,SESSION_END,44.0,29
FA_SD25_R04_MA1_RT70,1824,2025-10-21 16:02:34.898015,2025-10-21 16:14:58.569002,SHORT,2,1,25239.125,25244.75,-45.0,SESSION_END,21.0,61
FA_SD25_R04_MA1_RT70,2004,2025-10-22 16:13:11.052006,2025-10-22 16:14:59.827000,LONG,1,0,25052.0,25054.5,10.0,SESSION_END,24.0,180
FA_SD25_R04_MA1_RT70,2064,2025-10-23 16:09:44.867012,2025-10-23 16:14:59.977000,SHORT,1,0,25271.75,25268.0,15.0,SESSION_END,24.0,60
FA_SD25_R04_MA1_RT70,2114,2025-10-24 15:59:04.209006,2025-10-24 16:14:59.420000,LONG,1,0,25506.5,25506.5,0.0,SESSION_END,66.0,50
FA_SD25_R04_MA1_RT70,2137,2025-10-27 15:51:49.015000,2025-10-27 16:14:59.986004,LONG,1,0,25968.75,25973.75,20.0,SESSION_END,50.0,23
FA_SD25_R04_MA1_RT70,2186,2025-10-28 15:59:44.185000,2025-10-28 16:14:59.466000,LONG,2,1,26157.0,26157.0,0.0,SESSION_END,46.0,49
