config_id,cycle_id,start_time,end_time,side,position_size,add_count,avg_entry,last_price,unrealized_pnl_ticks,exit_type,progress_hwm,cycle_day_seq
FA_SD35_R05_MA1_RT70,8,2025-09-22 12:54:03.716034,2025-09-22 16:14:59.801000,SHORT,2,1,25002.75,24986.75,128.0,SESSION_END,59.29,8
FA_SD35_R05_MA1_RT70,23,2025-09-23 16:02:24.896002,2025-09-23 16:14:58.531002,SHORT,1,0,24847.0,24836.0,44.0,SESSION_END,35.71,15
FA_SD35_R05_MA1_RT70,42,2025-09-24 15:50:00.026007,2025-09-24 16:14:59.916000,SHORT,2,1,24740.0,24751.0,-88.0,SESSION_END,21.43,19
FA_SD35_R05_MA1_RT70,84,2025-09-25 15:54:40.062003,2025-09-25 16:14:59.975000,LONG,2,1,24627.25,24624.75,-20.0,SESSION_END,29.29,42
FA_SD35_R05_MA1_RT70,119,2025-09-26 16:09:00.270007,2025-09-26 16:14:59.400000,SHORT,1,0,24738.5,24744.5,-24.0,SESSION_END,15.71,35
FA_SD35_R05_MA1_RT70,136,2025-09-29 15:40:45.559000,2025-09-29 16:14:59.958001,LONG,1,0,24826.25,24829.5,13.0,SESSION_END,62.86,17
FA_SD35_R05_MA1_RT70,166,2025-09-30 16:00:41.978000,2025-09-30 16:14:59.908000,LONG,2,1,24871.0,24858.25,-102.0,SESSION_END,19.29,30
FA_SD35_R05_MA1_RT70,190,2025-10-01 15:45:26.998124,2025-10-01 16:14:56.360000,SHORT,2,1,25009.75,24995.25,116.0,SESSION_END,23.57,24
FA_SD35_R05_MA1_RT70,210,2025-10-02 13:42:36.419107,2025-10-02 16:14:59.739000,LONG,2,1,25096.75,25119.75,184.0,SESSION_END,60.0,20
FA_SD35_R05_MA1_RT70,237,2025-10-03 16:04:08.914001,2025-10-03 16:14:58.258001,SHORT,1,0,24979.5,24982.25,-11.0,SESSION_END,16.43,27
FA_SD35_R05_MA1_RT70,254,2025-10-06 16:00:04.302000,2025-10-06 16:14:59.227000,SHORT,1,0,25179.25,25177.0,9.0,SESSION_END,12.14,17
FA_SD35_R05_MA1_RT70,284,2025-10-07 15:00:13.316117,2025-10-07 16:14:59.067000,LONG,2,1,25050.25,25058.75,68.0,SESSION_END,40.0,30
FA_SD35_R05_MA1_RT70,296,2025-10-08 15:32:06.620018,2025-10-08 16:14:59.148000,SHORT,2,1,25326.5,25332.75,-50.0,SESSION_END,42.86,12
FA_SD35_R05_MA1_RT70,323,2025-10-09 15:59:57.994015,2025-10-09 16:14:57.965000,SHORT,1,0,25294.25,25285.0,37.0,SESSION_END,31.43,27
FA_SD35_R05_MA1_RT70,499,2025-10-10 16:01:37.925000,2025-10-10 16:14:59.357000,SHORT,2,1,24422.0,24442.0,-160.0,SESSION_END,35.71,176
FA_SD35_R05_MA1_RT70,540,2025-10-13 16:02:13.079000,2025-10-13 16:14:56.794002,SHORT,1,0,24908.75,24915.5,-27.0,SESSION_END,27.86,41
FA_SD35_R05_MA1_RT70,611,2025-10-14 16:07:36.147020,2025-10-14 16:14:58.161001,SHORT,1,0,24722.75,24730.25,-30.0,SESSION_END,62.14,71
FA_SD35_R05_MA1_RT70,681,2025-10-15 16:01:01.992000,2025-10-15 16:14:59.909001,LONG,1,0,24941.5,24942.25,3.0,SESSION_END,65.0,70
FA_SD35_R05_MA1_RT70,802,2025-10-16 16:11:29.090000,2025-10-16 16:14:59.911000,LONG,2,1,24771.75,24754.25,-140.0,SESSION_END,6.43,121
FA_SD35_R05_MA1_RT70,897,2025-10-17 16:03:10.363000,2025-10-17 16:14:59.062001,SHORT,1,0,25000.75,25010.75,-40.0,SESSION_END,12.14,95
FA_SD35_R05_MA1_RT70,911,2025-10-20 16:00:08.744000,2025-10-20 16:14:57.096000,SHORT,2,1,25306.5,25316.5,-80.0,SESSION_END,22.86,14
FA_SD35_R05_MA1_RT70,937,2025-10-21 16:02:34.593000,2025-10-21 16:14:58.569002,LONG,1,0,25241.5,25244.75,13.0,SESSION_END,40.71,26
FA_SD35_R05_MA1_RT70,1020,2025-10-22 16:00:10.236001,2025-10-22 16:14:59.827000,SHORT,2,1,25059.25,25054.5,38.0,SESSION_END,55.71,83
