config_id,cycle_id,start_time,end_time,side,position_size,add_count,avg_entry,last_price,unrealized_pnl_ticks,exit_type,progress_hwm,cycle_day_seq
FA_SD20_R04_MA1_RT60,31,2025-09-22 16:00:00.001112,2025-09-22 16:14:59.801000,LONG,2,1,24991.75,24986.75,-40.0,SESSION_END,21.25,31
FA_SD20_R04_MA1_RT60,97,2025-09-23 16:08:18.468014,2025-09-23 16:14:58.531002,LONG,1,0,24841.0,24836.0,-20.0,SESSION_END,12.5,66
FA_SD20_R04_MA1_RT60,160,2025-09-24 15:57:34.222000,2025-09-24 16:14:59.916000,SHORT,2,1,24741.5,24751.0,-76.0,SESSION_END,16.25,63
FA_SD20_R04_MA1_RT60,317,2025-09-25 16:09:45.200000,2025-09-25 16:14:59.975000,SHORT,1,0,24620.0,24624.75,-19.0,SESSION_END,2.5,157
FA_SD20_R04_MA1_RT60,456,2025-09-26 15:57:34.992000,2025-09-26 16:14:59.400000,SHORT,2,1,24735.0,24744.5,-76.0,SESSION_END,48.75,139
FA_SD20_R04_MA1_RT60,527,2025-09-29 15:47:52.613002,2025-09-29 16:14:59.958001,LONG,2,1,24833.75,24829.5,-34.0,SESSION_END,52.5,71
FA_SD20_R04_MA1_RT60,632,2025-09-30 16:10:23.731011,2025-09-30 16:14:59.908000,SHORT,1,0,24864.0,24858.25,23.0,SESSION_END,37.5,105
FA_SD20_R04_MA1_RT60,713,2025-10-01 16:00:54.211000,2025-10-01 16:14:56.360000,SHORT,1,0,24999.0,24995.25,15.0,SESSION_END,31.25,81
FA_SD20_R04_MA1_RT60,792,2025-10-02 15:59:24.930000,2025-10-02 16:14:59.739000,SHORT,2,1,25115.75,25119.75,-32.0,SESSION_END,36.25,79
FA_SD20_R04_MA1_RT60,892,2025-10-03 16:06:06.422000,2025-10-03 16:14:58.258001,SHORT,2,1,24978.0,24982.25,-34.0,SESSION_END,1.25,100
FA_SD20_R04_MA1_RT60,944,2025-10-06 15:59:46.010017,2025-10-06 16:14:59.227000,LONG,1,0,25182.0,25177.0,-20.0,SESSION_END,40.0,52
FA_SD20_R04_MA1_RT60,1065,2025-10-07 16:00:05.453000,2025-10-07 16:14:59.067000,SHORT,2,1,25059.5,25058.75,6.0,SESSION_END,30.0,121
FA_SD20_R04_MA1_RT60,1105,2025-10-08 16:05:15.252002,2025-10-08 16:14:59.148000,SHORT,1,0,25335.75,25332.75,12.0,SESSION_END,25.0,40
FA_SD20_R04_MA1_RT60,1197,2025-10-09 16:00:07.144000,2025-10-09 16:14:57.965000,LONG,2,1,25292.75,25285.0,-62.0,SESSION_END,15.0,92
FA_SD20_R04_MA1_RT60,1827,2025-10-10 16:12:47.517000,2025-10-10 16:14:59.357000,SHORT,1,0,24440.5,24442.0,-6.0,SESSION_END,10.0,630
FA_SD20_R04_MA1_RT60,1987,2025-10-13 16:10:39.979018,2025-10-13 16:14:56.794002,LONG,1,0,24920.0,24915.5,-18.0,SESSION_END,1.25,160
FA_SD20_R04_MA1_RT60,2227,2025-10-14 16:13:10.171000,2025-10-14 16:14:58.161001,LONG,2,1,24728.25,24730.25,16.0,SESSION_END,6.25,240
FA_SD20_R04_MA1_RT60,2479,2025-10-15 16:13:29.401000,2025-10-15 16:14:59.909001,LONG,1,0,24936.0,24942.25,25.0,SESSION_END,35.0,252
FA_SD20_R04_MA1_RT60,2887,2025-10-16 16:13:55.745000,2025-10-16 16:14:59.911000,SHORT,1,0,24756.0,24754.25,7.0,SESSION_END,20.0,408
FA_SD20_R04_MA1_RT60,3207,2025-10-17 16:03:02.799021,2025-10-17 16:14:59.062001,SHORT,2,1,25003.25,25010.75,-60.0,SESSION_END,13.75,320
FA_SD20_R04_MA1_RT60,3273,2025-10-20 16:11:00.463004,2025-10-20 16:14:57.096000,SHORT,2,1,25315.0,25316.5,-12.0,SESSION_END,2.5,66
FA_SD20_R04_MA1_RT60,3361,2025-10-21 16:07:13.966000,2025-10-21 16:14:58.569002,LONG,1,0,25235.75,25244.75,36.0,SESSION_END,53.75,88
FA_SD20_R04_MA1_RT60,3652,2025-10-22 16:12:32.946009,2025-10-22 16:14:59.827000,SHORT,1,0,25054.0,25054.5,-2.0,SESSION_END,23.75,291
FA_SD20_R04_MA1_RT60,3750,2025-10-23 16:12:00.192001,2025-10-23 16:14:59.977000,SHORT,1,0,25273.0,25268.0,20.0,SESSION_END,36.25,98
