config_id,cycle_id,start_time,end_time,side,position_size,add_count,avg_entry,last_price,unrealized_pnl_ticks,exit_type,progress_hwm,cycle_day_seq
FA_SD50_R03_MA2_RT50,5,2025-09-22 14:32:19.518063,2025-09-22 16:14:59.801000,LONG,3,2,25000.5,24986.75,-165.0,SESSION_END,23.5,5
FA_SD50_R03_MA2_RT50,15,2025-09-23 16:02:44.479000,2025-09-23 16:14:58.531002,LONG,2,1,24843.5,24836.0,-60.0,SESSION_END,10.5,10
FA_SD50_R03_MA2_RT50,29,2025-09-24 14:53:35.774000,2025-09-24 16:14:59.916000,LONG,3,2,24720.25,24751.0,369.0,SESSION_END,38.5,14
FA_SD50_R03_MA2_RT50,56,2025-09-25 14:38:50.339048,2025-09-25 16:14:59.975000,SHORT,3,2,24616.0,24624.75,-105.0,SESSION_END,18.0,27
FA_SD50_R03_MA2_RT50,80,2025-09-26 14:26:18.459011,2025-09-26 16:14:59.400000,LONG,2,1,24722.25,24744.5,178.0,SESSION_END,31.0,24
FA_SD50_R03_MA2_RT50,91,2025-09-29 15:02:40.637000,2025-09-29 16:14:59.958001,LONG,3,2,24810.75,24829.5,225.0,SESSION_END,45.0,11
FA_SD50_R03_MA2_RT50,109,2025-09-30 15:52:58.505007,2025-09-30 16:14:59.908000,LONG,3,2,24880.5,24858.25,-267.0,SESSION_END,36.5,18
FA_SD50_R03_MA2_RT50,125,2025-10-01 13:28:18.697010,2025-10-01 16:14:56.360000,SHORT,3,2,25003.0,24995.25,93.0,SESSION_END,47.5,16
FA_SD50_R03_MA2_RT50,138,2025-10-02 14:26:45.109000,2025-10-02 16:14:59.739000,SHORT,1,0,25115.25,25119.75,-18.0,SESSION_END,48.5,13
FA_SD50_R03_MA2_RT50,154,2025-10-03 15:57:26.218000,2025-10-03 16:14:58.258001,LONG,1,0,24984.25,24982.25,-8.0,SESSION_END,44.5,16
FA_SD50_R03_MA2_RT50,166,2025-10-06 15:42:10.879000,2025-10-06 16:14:59.227000,LONG,3,2,25199.5,25177.0,-270.0,SESSION_END,10.5,12
FA_SD50_R03_MA2_RT50,185,2025-10-07 14:12:09.944001,2025-10-07 16:14:59.067000,SHORT,3,2,25052.0,25058.75,-81.0,SESSION_END,28.0,19
FA_SD50_R03_MA2_RT50,193,2025-10-08 15:19:15.799000,2025-10-08 16:14:59.148000,SHORT,3,2,25319.75,25332.75,-156.0,SESSION_END,7.5,8
FA_SD50_R03_MA2_RT50,210,2025-10-09 15:38:49.447000,2025-10-09 16:14:57.965000,SHORT,2,1,25286.5,25285.0,12.0,SESSION_END,21.5,17
FA_SD50_R03_MA2_RT50,336,2025-10-10 16:02:30.650000,2025-10-10 16:14:59.357000,SHORT,3,2,24430.0,24442.0,-144.0,SESSION_END,6.0,126
FA_SD50_R03_MA2_RT50,368,2025-10-13 16:05:30.881000,2025-10-13 16:14:56.794002,LONG,1,0,24899.25,24915.5,65.0,SESSION_END,42.0,32
FA_SD50_R03_MA2_RT50,416,2025-10-14 16:08:19.413000,2025-10-14 16:14:58.161001,LONG,1,0,24713.75,24730.25,66.0,SESSION_END,39.5,48
FA_SD50_R03_MA2_RT50,467,2025-10-15 16:01:17.332000,2025-10-15 16:14:59.909001,SHORT,1,0,24952.0,24942.25,39.0,SESSION_END,38.0,51
FA_SD50_R03_MA2_RT50,548,2025-10-16 16:09:40.911000,2025-10-16 16:14:59.911000,LONG,3,2,24780.5,24754.25,-315.0,SESSION_END,7.0,81
FA_SD50_R03_MA2_RT50,613,2025-10-17 15:30:40.202000,2025-10-17 16:14:59.062001,LONG,3,2,24995.0,25010.75,189.0,SESSION_END,23.0,65
FA_SD50_R03_MA2_RT50,622,2025-10-20 14:45:10.501001,2025-10-20 16:14:57.096000,LONG,2,1,25311.25,25316.5,42.0,SESSION_END,35.5,9
FA_SD50_R03_MA2_RT50,643,2025-10-21 16:02:33.305001,2025-10-21 16:14:58.569002,SHORT,1,0,25250.5,25244.75,23.0,SESSION_END,43.5,21
FA_SD50_R03_MA2_RT50,704,2025-10-22 16:02:38.551038,2025-10-22 16:14:59.827000,SHORT,1,0,25065.0,25054.5,42.0,SESSION_END,46.0,61
FA_SD50_R03_MA2_RT50,726,2025-10-23 13:35:23.667058,2025-10-23 16:14:59.977000,SHORT,3,2,25256.5,25268.0,-138.0,SESSION_END,22.0,22
FA_SD50_R03_MA2_RT50,739,2025-10-24 15:56:55.473006,2025-10-24 16:14:59.420000,LONG,2,1,25508.5,25506.5,-16.0,SESSION_END,16.0,13
FA_SD50_R03_MA2_RT50,745,2025-10-27 15:51:26.946000,2025-10-27 16:14:59.986004,SHORT,2,1,25973.25,25973.75,-4.0,SESSION_END,11.5,6
FA_SD50_R03_MA2_RT50,752,2025-10-28 15:50:00.052004,2025-10-28 16:14:59.466000,LONG,2,1,26169.5,26157.0,-100.0,SESSION_END,22.0,7
FA_SD50_R03_MA2_RT50,818,2025-10-29 16:11:21.998000,2025-10-29 16:14:59.593001,SHORT,3,2,26214.0833,26230.25,-194.0,SESSION_END,33.0,66
FA_SD50_R03_MA2_RT50,873,2025-10-30 16:12:23.781007,2025-10-30 16:14:59.886000,SHORT,1,0,26001.25,25996.75,18.0,SESSION_END,23.5,55
FA_SD50_R03_MA2_RT50,907,2025-10-31 16:03:29.037000,2025-10-31 16:14:59.777001,LONG,1,0,25974.25,25984.25,40.0,SESSION_END,45.0,34
FA_SD50_R03_MA2_RT50,931,2025-11-03 16:05:00.037036,2025-11-03 16:14:59.981000,LONG,3,2,26145.0833,26125.25,-238.0,SESSION_END,39.5,24
FA_SD50_R03_MA2_RT50,967,2025-11-04 15:49:34.930004,2025-11-04 16:14:59.568001,LONG,3,2,25577.0,25567.25,-117.0,SESSION_END,13.0,36
FA_SD50_R03_MA2_RT50,1002,2025-11-05 16:01:21.154010,2025-11-05 16:14:59.952001,SHORT,3,2,25732.5,25704.75,333.0,SESSION_END,39.5,35
FA_SD50_R03_MA2_RT50,1055,2025-11-06 15:54:50.034003,2025-11-06 16:14:59.987000,SHORT,3,2,25263.5,25290.25,-321.0,SESSION_END,44.0,53
FA_SD50_R03_MA2_RT50,1119,2025-11-07 16:00:53.652000,2025-11-07 16:14:59.188000,LONG,1,0,25185.0,25198.5,54.0,SESSION_END,43.0,64
FA_SD50_R03_MA2_RT50,1138,2025-11-10 15:46:29.660000,2025-11-10 16:14:59.165004,LONG,3,2,25723.75,25734.75,132.0,SESSION_END,43.5,19
FA_SD50_R03_MA2_RT50,1149,2025-11-11 15:58:00.677000,2025-11-11 16:14:59.117001,SHORT,3,2,25645.0,25676.0,-372.0,SESSION_END,20.5,11
FA_SD50_R03_MA2_RT50,1184,2025-11-12 16:12:42.407011,2025-11-12 16:14:59.517000,SHORT,1,0,25653.0,25647.5,22.0,SESSION_END,19.5,35
FA_SD50_R03_MA2_RT50,1257,2025-11-13 16:00:54.457003,2025-11-13 16:14:59.997000,SHORT,2,1,25135.125,25156.25,-169.0,SESSION_END,10.5,73
FA_SD50_R03_MA2_RT50,1322,2025-11-14 16:09:08.184000,2025-11-14 16:14:59.937000,SHORT,2,1,25131.5,25132.25,-6.0,SESSION_END,32.0,65
