config_id,approach,step_dist,add_dist,confirm_dist,cycle_id,start_time,end_time,duration_bars,duration_minutes,start_bar_idx,end_bar_idx,side,add_count,exit_position,pnl_ticks_gross,pnl_ticks_net,pnl_ticks_per_unit,mfe_points,mae_points,atr_20bar,atr_percentile,swing_median_20,swing_p90_20,directional_persistence,bar_range_median_20,would_flatten_reseed,half_block_profit
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,1,2025-09-22 09:31:10.095000,2025-09-22 09:33:30.406000,6511,2.34,4894,11404,LONG,0,1,80.0,76.0,80.0,20.0,-4.0,4.9125,78.94736842105263,8.125,10.975,0.0,4.875,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,2,2025-09-22 09:33:30.406000,2025-09-22 09:36:21.078008,5704,2.84,11404,17107,SHORT,0,1,80.0,76.0,80.0,20.0,-0.5,4.6125,17.77777777777778,8.25,13.0,0.0,4.75,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,3,2025-09-22 09:36:21.078008,2025-09-22 09:37:56.879005,3266,1.6,17107,20372,LONG,0,1,80.0,76.0,80.0,20.0,-2.25,4.2125,23.529411764705884,7.75,15.8,1.0,4.0,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,4,2025-09-22 09:37:56.879005,2025-09-22 09:39:25.916000,2402,1.48,20372,22773,SHORT,0,1,80.0,76.0,80.0,20.0,-1.0,4.2625,32.098765432098766,9.75,18.550000000000004,1.0,3.75,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,5,2025-09-22 09:39:25.916000,2025-09-22 09:48:07.093000,13985,8.69,22773,36757,LONG,0,1,80.0,76.0,80.0,20.0,-14.25,4.4625,53.333333333333336,9.75,18.550000000000004,1.0,4.625,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,6,2025-09-22 09:48:07.093000,2025-09-22 10:13:13.348000,29977,25.1,36757,66733,SHORT,1,2,80.0,72.0,40.0,10.0,-22.25,5.125,84.93150684931507,10.125,21.0,1.0,4.75,False,
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,7,2025-09-22 10:13:13.348000,2025-09-22 10:17:07.535000,4074,3.9,66733,70806,LONG,0,1,80.0,76.0,80.0,20.0,-0.75,4.0125,6.7669172932330826,9.625,17.775000000000006,1.0,4.0,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,9,2025-09-23 09:35:34.091004,2025-09-23 09:41:12.274023,12360,5.64,361556,373915,SHORT,0,1,80.0,76.0,80.0,20.0,-9.75,4.475,89.4,11.375,17.900000000000006,1.0,4.5,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,10,2025-09-23 09:41:12.274023,2025-09-23 10:11:08.056023,47571,29.93,373915,421485,LONG,1,2,80.0,72.0,40.0,10.5,-21.5,4.1625,76.80000000000001,11.625,19.250000000000004,1.0,3.625,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,11,2025-09-23 10:11:08.056023,2025-09-23 10:12:44.468008,2225,1.61,421485,423709,SHORT,0,1,80.0,76.0,80.0,20.0,-0.75,4.7375,64.4,14.125,19.67500000000001,1.0,4.75,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,12,2025-09-23 10:12:44.468008,2025-09-23 10:20:08.659000,8484,7.4,423709,432192,LONG,0,1,80.0,76.0,80.0,20.0,-3.0,4.8125,68.0,14.125,19.67500000000001,1.0,4.625,False,39.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,13,2025-09-23 10:20:08.659000,2025-09-23 10:22:37.989014,3089,2.49,432192,435280,SHORT,0,1,80.0,76.0,80.0,20.0,-1.25,4.875,69.8,10.75,19.025,1.0,4.625,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,14,2025-09-23 10:22:37.989014,2025-09-23 10:28:17.475000,6329,5.66,435280,441608,LONG,0,1,80.0,76.0,80.0,20.0,-8.0,4.9,71.10000000000001,11.5,19.025,1.0,4.875,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,15,2025-09-23 10:28:17.475000,2025-09-23 10:47:39.791000,21418,19.37,441608,463025,SHORT,0,1,80.0,76.0,80.0,20.0,-14.25,4.3875,33.1,11.5,19.025,1.0,4.0,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,16,2025-09-23 10:47:39.791000,2025-09-23 10:55:34.118000,6837,7.91,463025,469861,LONG,0,1,80.0,76.0,80.0,20.0,-3.0,3.9625,14.4,11.625,20.275000000000006,1.0,3.75,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,17,2025-09-23 10:55:34.118000,2025-09-23 11:00:16.554012,4194,4.71,469861,474054,SHORT,0,1,80.0,76.0,80.0,20.0,-2.5,4.3,21.400000000000002,11.875,20.275000000000006,1.0,4.375,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,18,2025-09-23 11:00:16.554012,2025-09-23 11:12:55.814000,12488,12.65,474054,486541,LONG,0,1,80.0,76.0,80.0,20.0,-8.75,3.7375,3.0,12.0,20.275000000000006,1.0,3.5,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,19,2025-09-23 11:12:55.814000,2025-09-23 11:40:04.353000,20499,27.14,486541,507039,SHORT,0,1,80.0,76.0,80.0,20.0,-8.75,3.95,9.0,11.75,23.425000000000004,1.0,3.5,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,20,2025-09-23 11:40:04.353000,2025-09-23 11:47:47.823000,8208,7.72,507039,515246,LONG,0,1,80.0,76.0,80.0,20.0,-11.5,4.2125,33.0,12.0,23.85000000000001,1.0,4.25,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,21,2025-09-23 11:47:47.823000,2025-09-23 11:57:09.124001,4996,9.36,515246,520241,SHORT,0,1,80.0,76.0,80.0,20.0,-0.25,3.8125,11.9,13.125,28.650000000000002,1.0,3.875,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,22,2025-09-23 11:57:09.124001,2025-09-23 12:19:27.576000,17215,22.31,520241,537455,LONG,1,2,80.0,72.0,40.0,12.0,-20.0,4.4625,58.900000000000006,12.125,28.650000000000002,1.0,4.5,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,23,2025-09-23 12:19:27.576000,2025-09-23 12:35:02.676032,11605,15.59,537455,549059,SHORT,0,1,80.0,76.0,80.0,20.0,-13.5,3.675,8.700000000000001,10.5,28.650000000000002,1.0,3.25,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,24,2025-09-23 12:35:02.676032,2025-09-23 12:38:08.049003,4601,3.09,549059,553659,LONG,0,1,80.0,76.0,80.0,20.0,-4.0,4.8625,94.30000000000001,10.875,28.650000000000002,1.0,4.875,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,25,2025-09-23 12:38:08.049003,2025-09-23 12:56:01.711000,13224,17.89,553659,566882,SHORT,0,1,80.0,76.0,80.0,20.0,-11.0,6.4,100.0,11.75,20.65000000000001,1.0,5.75,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,27,2025-09-24 09:30:49.673000,2025-09-24 09:33:21.021000,7818,2.52,797562,805379,SHORT,0,1,80.0,76.0,80.0,20.0,-10.25,7.9875,99.80000000000001,9.0,26.95000000000001,1.0,5.5,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,28,2025-09-24 09:33:21.021000,2025-09-24 09:39:24.459005,16299,6.06,805379,821677,LONG,1,2,80.0,72.0,40.0,11.25,-20.0,5.4375,74.0,8.875,26.95000000000001,1.0,5.25,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,29,2025-09-24 09:39:24.459005,2025-09-24 09:45:54.230009,12038,6.5,821677,833714,SHORT,0,1,80.0,76.0,80.0,20.0,-6.0,5.4375,75.0,8.375,33.675000000000004,1.0,5.0,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,30,2025-09-24 09:45:54.230009,2025-09-24 09:59:43.214000,23831,13.82,833714,857544,LONG,1,2,80.0,72.0,40.0,14.0,-30.75,5.8375,86.60000000000001,12.625,22.20000000000001,1.0,5.375,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,31,2025-09-24 09:59:43.214000,2025-09-24 10:02:40.506000,4164,2.95,857544,861707,SHORT,0,1,80.0,76.0,80.0,20.0,-0.75,5.4625,65.5,10.625,20.525000000000006,1.0,5.5,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,32,2025-09-24 10:02:40.506000,2025-09-24 10:03:51.416008,1679,1.18,861707,863385,LONG,0,1,80.0,76.0,80.0,20.0,-0.75,5.6625,77.4,8.125,16.625000000000007,1.0,5.5,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,33,2025-09-24 10:03:51.416008,2025-09-24 10:32:57.200000,33876,29.1,863385,897260,SHORT,0,1,80.0,76.0,80.0,20.0,-15.75,6.0125,90.10000000000001,8.125,16.625000000000007,1.0,5.75,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,34,2025-09-24 10:32:57.200000,2025-09-24 10:49:08.072000,14402,16.18,897260,911661,LONG,0,1,80.0,76.0,80.0,20.0,-11.5,4.85,22.8,11.375,18.275,1.0,4.875,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,35,2025-09-24 10:49:08.072000,2025-09-24 10:54:41.670019,5530,5.56,911661,917190,SHORT,0,1,80.0,76.0,80.0,20.0,-4.5,4.7125,8.6,11.75,24.575000000000003,1.0,4.5,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,36,2025-09-24 10:54:41.670019,2025-09-24 11:22:49.391000,26518,28.13,917190,943707,LONG,1,2,80.0,72.0,40.0,10.0,-20.0,4.4,2.1,12.25,24.575000000000003,1.0,4.25,False,
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,37,2025-09-24 11:22:49.391000,2025-09-24 11:31:34.737000,6631,8.76,943707,950337,SHORT,0,1,80.0,76.0,80.0,20.0,-4.75,4.725,28.8,12.625,19.375,1.0,4.375,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,39,2025-09-25 09:30:04.711000,2025-09-25 09:30:27.211006,2315,0.38,1207007,1209321,SHORT,0,1,80.0,76.0,80.0,20.0,-15.75,13.275,100.0,10.25,22.225000000000016,1.0,4.0,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,40,2025-09-25 09:30:27.211006,2025-09-25 09:32:56.239000,9586,2.48,1209321,1218906,LONG,0,1,81.0,77.0,81.0,20.25,-7.75,14.925,100.0,9.875,22.225000000000016,1.0,5.75,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,41,2025-09-25 09:32:56.239000,2025-09-25 09:34:12.049000,3194,1.26,1218906,1222099,SHORT,0,1,81.0,77.0,81.0,20.25,-4.5,7.6875,95.80000000000001,10.625,18.475000000000023,1.0,7.625,False,39.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,42,2025-09-25 09:34:12.049000,2025-09-25 10:05:50.499012,92804,31.64,1222099,1314902,LONG,1,2,80.0,72.0,40.0,10.0,-103.75,7.4,93.2,9.875,18.475000000000023,1.0,7.0,True,
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,43,2025-09-25 10:05:50.499012,2025-09-25 13:49:54.788001,260446,224.07,1314902,1575347,SHORT,1,2,80.0,72.0,40.0,10.0,-150.5,5.4625,18.8,13.75,25.875,1.0,5.125,True,
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,44,2025-09-25 13:49:54.788001,2025-09-25 14:15:19.282000,37634,25.41,1575347,1612980,LONG,1,2,80.0,72.0,40.0,19.75,-72.75,6.3,47.5,9.875,25.07500000000001,1.0,6.375,True,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,46,2025-09-26 09:30:02.027041,2025-09-26 09:30:43.878000,4199,0.7,1727621,1731819,SHORT,0,1,80.0,76.0,80.0,20.0,-8.75,5.7125,51.0,17.75,25.150000000000006,1.0,4.75,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,47,2025-09-26 09:30:43.878000,2025-09-26 09:31:51.792000,5255,1.13,1731819,1737073,LONG,0,1,80.0,76.0,80.0,20.0,-17.25,8.4375,100.0,16.875,24.075000000000003,1.0,7.375,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,48,2025-09-26 09:31:51.792000,2025-09-26 10:07:01.483000,69787,35.16,1737073,1806859,SHORT,1,2,79.0,71.0,39.5,9.875,-88.875,6.7875,93.9,17.125,25.000000000000004,1.0,6.875,True,
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,49,2025-09-26 10:07:01.483000,2025-09-26 10:08:37.052000,4883,1.59,1806859,1811741,LONG,1,2,80.0,72.0,40.0,10.0,-20.0,7.25,69.10000000000001,13.5,33.725,1.0,7.25,False,
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,50,2025-09-26 10:08:37.052000,2025-09-26 10:09:14.008006,1399,0.62,1811741,1813139,SHORT,0,1,80.0,76.0,80.0,20.0,-3.25,7.7375,78.80000000000001,15.375,35.3,1.0,6.875,False,38.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,51,2025-09-26 10:09:14.008006,2025-09-26 10:10:09.847000,2135,0.93,1813139,1815273,LONG,0,1,80.0,76.0,80.0,20.0,-3.5,7.7125,77.30000000000001,15.375,35.3,1.0,6.75,False,38.0
