config_id,cycle_id,start_time,end_time,side,position_size,add_count,avg_entry,last_price,unrealized_pnl_ticks
B_SD35_AD35.0_MA1,2,2025-09-22 10:02:33.805196,2025-09-22 16:14:59.801000,SHORT,2,1,24903.0,24986.75,-670.0
B_SD35_AD35.0_MA1,6,2025-09-23 11:42:16.088005,2025-09-23 16:14:58.531002,LONG,2,1,24913.5,24836.0,-620.0
B_SD35_AD35.0_MA1,8,2025-09-24 09:49:24.918005,2025-09-24 16:14:59.916000,LONG,2,1,24797.75,24751.0,-374.0
B_SD35_AD35.0_MA1,15,2025-09-25 14:10:50.076000,2025-09-25 16:14:59.975000,SHORT,2,1,24524.5,24624.75,-802.0
B_SD35_AD35.0_MA1,22,2025-09-26 12:19:17.333000,2025-09-26 16:14:59.400000,SHORT,2,1,24636.75,24744.5,-862.0
B_SD35_AD35.0_MA1,29,2025-09-29 11:08:04.698004,2025-09-29 16:14:59.958001,LONG,2,1,24903.625,24829.5,-593.0
B_SD35_AD35.0_MA1,42,2025-09-30 13:50:06.962053,2025-09-30 16:14:59.908000,SHORT,2,1,24802.75,24858.25,-444.0
B_SD35_AD35.0_MA1,48,2025-10-01 10:01:14.461008,2025-10-01 16:14:56.360000,SHORT,2,1,24815.5,24995.25,-1438.0
B_SD35_AD35.0_MA1,51,2025-10-02 13:28:04.908020,2025-10-02 16:14:59.739000,SHORT,1,0,25095.25,25119.75,-98.0
B_SD35_AD35.0_MA1,57,2025-10-03 13:00:47.982000,2025-10-03 16:14:58.258001,LONG,2,1,25081.0,24982.25,-790.0
B_SD35_AD35.0_MA1,62,2025-10-06 10:48:37.733000,2025-10-06 16:14:59.227000,SHORT,2,1,25162.0,25177.0,-120.0
B_SD35_AD35.0_MA1,64,2025-10-07 11:03:16.947000,2025-10-07 16:14:59.067000,LONG,2,1,25149.5,25058.75,-726.0
B_SD35_AD35.0_MA1,66,2025-10-08 09:40:03.420002,2025-10-08 16:14:59.148000,SHORT,2,1,25167.25,25332.75,-1324.0
B_SD35_AD35.0_MA1,79,2025-10-09 14:16:49.484086,2025-10-09 16:14:57.965000,SHORT,2,1,25241.5,25285.0,-348.0
B_SD35_AD35.0_MA1,86,2025-10-10 10:57:53.308447,2025-10-10 16:14:59.357000,LONG,2,1,25295.5,24442.0,-6828.0
B_SD35_AD35.0_MA1,93,2025-10-13 11:11:27.512000,2025-10-13 16:14:56.794002,SHORT,2,1,24842.25,24915.5,-586.0
B_SD35_AD35.0_MA1,96,2025-10-14 09:55:15.427002,2025-10-14 16:14:58.161001,SHORT,2,1,24586.25,24730.25,-1152.0
B_SD35_AD35.0_MA1,113,2025-10-15 15:57:59.439000,2025-10-15 16:14:59.909001,SHORT,2,1,24915.0,24942.25,-218.0
B_SD35_AD35.0_MA1,126,2025-10-16 11:25:03.436005,2025-10-16 16:14:59.911000,LONG,2,1,25063.75,24754.25,-2476.0
B_SD35_AD35.0_MA1,135,2025-10-17 11:39:18.082012,2025-10-17 16:14:59.062001,SHORT,2,1,24754.125,25010.75,-2053.0
B_SD35_AD35.0_MA1,139,2025-10-20 09:49:44.041003,2025-10-20 16:14:57.096000,SHORT,2,1,25241.5,25316.5,-600.0
B_SD35_AD35.0_MA1,155,2025-10-21 16:01:02.013005,2025-10-21 16:14:58.569002,LONG,2,1,25248.5,25244.75,-30.0
B_SD35_AD35.0_MA1,161,2025-10-22 10:23:42.397002,2025-10-22 16:14:59.827000,LONG,2,1,25178.0,25054.5,-988.0
B_SD35_AD35.0_MA1,167,2025-10-23 11:48:31.391023,2025-10-23 16:14:59.977000,SHORT,2,1,25173.75,25268.0,-754.0
B_SD35_AD35.0_MA1,170,2025-10-24 10:58:15.492000,2025-10-24 16:14:59.420000,SHORT,2,1,25484.5,25506.5,-176.0
B_SD35_AD35.0_MA1,172,2025-10-27 09:55:47.125006,2025-10-27 16:14:59.986004,SHORT,2,1,25868.25,25973.75,-844.0
B_SD35_AD35.0_MA1,176,2025-10-28 12:45:23.102072,2025-10-28 16:14:59.466000,SHORT,2,1,26139.0,26157.0,-144.0
B_SD35_AD35.0_MA1,194,2025-10-29 16:14:45.432000,2025-10-29 16:14:59.593001,SHORT,1,0,26229.25,26230.25,-4.0
B_SD35_AD35.0_MA1,211,2025-10-30 16:01:43.785001,2025-10-30 16:14:59.886000,SHORT,1,0,25985.0,25996.75,-47.0
B_SD35_AD35.0_MA1,225,2025-10-31 15:52:51.432022,2025-10-31 16:14:59.777001,LONG,2,1,26041.5,25984.25,-458.0
B_SD35_AD35.0_MA1,231,2025-11-03 16:11:44.932002,2025-11-03 16:14:59.981000,LONG,1,0,26131.0,26125.25,-23.0
B_SD35_AD35.0_MA1,245,2025-11-04 15:49:21.450001,2025-11-04 16:14:59.568001,LONG,2,1,25584.25,25567.25,-136.0
B_SD35_AD35.0_MA1,246,2025-11-05 09:34:52.219019,2025-11-05 16:14:59.952001,SHORT,2,1,25524.75,25704.75,-1440.0
B_SD35_AD35.0_MA1,250,2025-11-06 09:50:33.001000,2025-11-06 16:14:59.987000,LONG,2,1,25586.5,25290.25,-2370.0
B_SD35_AD35.0_MA1,259,2025-11-07 14:30:46.332000,2025-11-07 16:14:59.188000,SHORT,2,1,24987.25,25198.5,-1690.0
B_SD35_AD35.0_MA1,265,2025-11-10 12:42:14.420000,2025-11-10 16:14:59.165004,SHORT,2,1,25626.5,25734.75,-866.0
B_SD35_AD35.0_MA1,271,2025-11-11 16:12:43.706005,2025-11-11 16:14:59.117001,SHORT,1,0,25675.0,25676.0,-4.0
B_SD35_AD35.0_MA1,273,2025-11-12 09:31:36.461004,2025-11-12 16:14:59.517000,LONG,2,1,25691.0,25647.5,-348.0
B_SD35_AD35.0_MA1,279,2025-11-13 10:28:15.873000,2025-11-13 16:14:59.997000,LONG,2,1,25354.5,25156.25,-1586.0
B_SD35_AD35.0_MA1,281,2025-11-14 09:36:16.133000,2025-11-14 16:14:59.937000,SHORT,2,1,24776.375,25132.25,-2847.0
B_SD35_AD35.0_MA1,289,2025-11-17 13:51:14.319000,2025-11-17 16:14:59.620002,LONG,2,1,24980.25,24920.75,-476.0
B_SD35_AD35.0_MA1,315,2025-11-18 16:05:17.153000,2025-11-18 16:14:59.019000,SHORT,1,0,24577.25,24561.75,62.0
B_SD35_AD35.0_MA1,334,2025-11-19 16:05:18.490020,2025-11-19 16:14:59.811000,SHORT,1,0,24717.5,24723.75,-25.0
B_SD35_AD35.0_MA1,343,2025-11-20 10:48:16.011102,2025-11-20 16:14:59.721000,LONG,2,1,25228.5,24114.25,-8914.0
B_SD35_AD35.0_MA1,387,2025-11-21 11:20:11.096008,2025-11-21 16:14:59.956000,SHORT,2,1,24043.5,24324.0,-2244.0
B_SD35_AD35.0_MA1,395,2025-11-24 09:58:16.808000,2025-11-24 16:14:59.899000,SHORT,2,1,24681.0,24960.0,-2232.0
B_SD35_AD35.0_MA1,406,2025-11-25 10:28:42.718003,2025-11-25 16:14:59.566001,SHORT,2,1,24769.25,25077.25,-2464.0
B_SD35_AD35.0_MA1,412,2025-11-26 10:26:27.150057,2025-11-26 16:14:58.730000,SHORT,2,1,25205.0,25313.25,-866.0
B_SD35_AD35.0_MA1,418,2025-11-28 11:52:52.823000,2025-11-28 13:14:59.535002,SHORT,2,1,25445.5,25484.5,-312.0
B_SD35_AD35.0_MA1,430,2025-12-01 14:35:13.334000,2025-12-01 16:14:58.132000,SHORT,1,0,25395.0,25389.5,22.0
B_SD35_AD35.0_MA1,440,2025-12-02 13:06:25.209000,2025-12-02 16:14:57.527000,SHORT,2,1,25580.5,25595.5,-120.0
B_SD35_AD35.0_MA1,445,2025-12-03 09:55:20.776005,2025-12-03 16:14:59.135000,SHORT,2,1,25512.5,25649.0,-1092.0
B_SD35_AD35.0_MA1,456,2025-12-04 15:50:51.835000,2025-12-04 16:14:59.213002,SHORT,1,0,25607.0,25632.25,-101.0
B_SD35_AD35.0_MA1,466,2025-12-05 15:53:45.619000,2025-12-05 16:14:59.842000,SHORT,1,0,25715.0,25733.5,-74.0
