config_id,approach,step_dist,add_dist,confirm_dist,cycle_id,start_time,end_time,duration_bars,duration_minutes,start_bar_idx,end_bar_idx,side,add_count,exit_position,pnl_ticks_gross,pnl_ticks_net,pnl_ticks_per_unit,mfe_points,mae_points,atr_20bar,atr_percentile,swing_median_20,swing_p90_20,directional_persistence,bar_range_median_20,would_flatten_reseed,half_block_profit
B_SD30_AD30.0_MA2,B,30.0,30.0,0.0,1,2025-09-22 09:32:17.575002,2025-09-22 09:54:46.706013,37038,22.49,8311,45348,LONG,0,1,120.0,116.0,120.0,30.0,-24.0,5.625,81.25,8.25,13.0,0.0,5.5,False,58.0
B_SD30_AD30.0_MA2,B,30.0,30.0,0.0,2,2025-09-22 09:54:46.706013,2025-09-22 11:17:53.713001,80038,83.12,45348,125385,SHORT,2,3,0.0,-12.0,0.0,20.5,-45.0,4.4625,33.88888888888889,9.625,15.375000000000009,1.0,3.875,False,58.0
B_SD30_AD30.0_MA2,B,30.0,30.0,0.0,3,2025-09-22 11:17:53.713001,2025-09-22 12:09:10.453000,36924,51.28,125385,162308,LONG,0,1,120.0,116.0,120.0,30.0,-8.25,3.6875,27.200000000000003,12.875,22.275,1.0,3.75,False,58.0
B_SD30_AD30.0_MA2,B,30.0,30.0,0.0,5,2025-09-23 09:37:30.728005,2025-09-23 09:55:08.682010,31201,17.63,366119,397319,SHORT,0,1,120.0,116.0,120.0,30.0,-19.75,4.8625,92.4,11.375,21.700000000000003,1.0,4.625,False,58.0
B_SD30_AD30.0_MA2,B,30.0,30.0,0.0,6,2025-09-23 09:55:08.682010,2025-09-23 10:41:51.035000,57863,46.71,397319,455181,LONG,0,1,120.0,116.0,120.0,30.0,-11.5,4.475,69.3,12.25,17.875,1.0,4.375,False,58.0
B_SD30_AD30.0_MA2,B,30.0,30.0,0.0,7,2025-09-23 10:41:51.035000,2025-09-23 10:47:39.791000,7845,5.81,455181,463025,SHORT,0,1,120.0,116.0,120.0,30.0,-4.25,4.25,21.700000000000003,10.0,19.025,1.0,3.875,False,58.0
B_SD30_AD30.0_MA2,B,30.0,30.0,0.0,9,2025-09-24 09:32:34.616009,2025-09-24 09:37:46.686001,14669,5.2,803273,817941,SHORT,0,1,120.0,116.0,120.0,30.0,-5.25,5.775,85.2,8.875,26.95000000000001,1.0,5.5,False,58.0
B_SD30_AD30.0_MA2,B,30.0,30.0,0.0,10,2025-09-24 09:37:46.686001,2025-09-24 09:59:43.214000,39604,21.94,817941,857544,LONG,1,2,120.0,112.0,60.0,26.0,-30.0,5.55,83.80000000000001,8.875,33.675000000000004,1.0,5.25,False,58.0
B_SD30_AD30.0_MA2,B,30.0,30.0,0.0,11,2025-09-24 09:59:43.214000,2025-09-24 10:33:25.835000,40763,33.71,857544,898306,SHORT,0,1,120.0,116.0,120.0,30.0,-15.75,5.4625,65.5,10.625,20.525000000000006,1.0,5.5,False,58.0
B_SD30_AD30.0_MA2,B,30.0,30.0,0.0,12,2025-09-24 10:33:25.835000,2025-09-24 10:49:08.072000,13356,15.7,898306,911661,LONG,0,1,120.0,116.0,120.0,30.0,-1.5,4.875,23.700000000000003,11.375,18.275,1.0,4.875,False,58.0
