config_id,cycle_id,start_time,end_time,side,position_size,add_count,avg_entry,last_price,unrealized_pnl_ticks
B_SD15_AD15.0_MA1,4,2025-09-22 09:43:06.840007,2025-09-22 16:14:59.801000,SHORT,2,1,24853.0,24986.75,-1070.0
B_SD15_AD15.0_MA1,32,2025-09-23 13:25:34.435016,2025-09-23 16:14:58.531002,LONG,2,1,24888.5,24836.0,-420.0
B_SD15_AD15.0_MA1,50,2025-09-24 11:27:47.052000,2025-09-24 16:14:59.916000,LONG,2,1,24787.5,24751.0,-292.0
B_SD15_AD15.0_MA1,59,2025-09-25 14:14:40.043000,2025-09-25 16:14:59.975000,SHORT,2,1,24538.75,24624.75,-688.0
B_SD15_AD15.0_MA1,102,2025-09-26 12:13:45.696000,2025-09-26 16:14:59.400000,SHORT,2,1,24601.25,24744.5,-1146.0
B_SD15_AD15.0_MA1,126,2025-09-29 15:47:52.074000,2025-09-29 16:14:59.958001,SHORT,1,0,24835.5,24829.5,24.0
B_SD15_AD15.0_MA1,157,2025-09-30 14:20:54.052000,2025-09-30 16:14:59.908000,SHORT,2,1,24827.75,24858.25,-244.0
B_SD15_AD15.0_MA1,172,2025-10-01 10:00:05.123004,2025-10-01 16:14:56.360000,SHORT,2,1,24784.75,24995.25,-1684.0
B_SD15_AD15.0_MA1,174,2025-10-02 09:32:30.628000,2025-10-02 16:14:59.739000,LONG,2,1,25127.75,25119.75,-64.0
B_SD15_AD15.0_MA1,185,2025-10-03 12:26:01.679000,2025-10-03 16:14:58.258001,LONG,2,1,25126.25,24982.25,-1152.0
B_SD15_AD15.0_MA1,212,2025-10-06 10:59:58.630005,2025-10-06 16:14:59.227000,SHORT,2,1,25160.0,25177.0,-136.0
B_SD15_AD15.0_MA1,226,2025-10-07 10:15:32.069000,2025-10-07 16:14:59.067000,LONG,2,1,25229.5,25058.75,-1366.0
B_SD15_AD15.0_MA1,228,2025-10-08 09:31:36.806000,2025-10-08 16:14:59.148000,SHORT,2,1,25117.25,25332.75,-1724.0
B_SD15_AD15.0_MA1,236,2025-10-09 16:14:37.556028,2025-10-09 16:14:57.965000,LONG,1,0,25284.0,25285.0,4.0
B_SD15_AD15.0_MA1,238,2025-10-10 10:57:55.854002,2025-10-10 16:14:59.357000,LONG,2,1,25290.5,24442.0,-6788.0
B_SD15_AD15.0_MA1,255,2025-10-13 11:11:27.341004,2025-10-13 16:14:56.794002,SHORT,2,1,24831.75,24915.5,-670.0
B_SD15_AD15.0_MA1,272,2025-10-14 10:10:31.326000,2025-10-14 16:14:58.161001,SHORT,2,1,24602.5,24730.25,-1022.0
B_SD15_AD15.0_MA1,315,2025-10-15 15:59:50.296002,2025-10-15 16:14:59.909001,SHORT,2,1,24934.25,24942.25,-64.0
B_SD15_AD15.0_MA1,344,2025-10-16 11:39:41.590000,2025-10-16 16:14:59.911000,LONG,2,1,25036.375,24754.25,-2257.0
B_SD15_AD15.0_MA1,366,2025-10-17 11:45:53.072000,2025-10-17 16:14:59.062001,SHORT,2,1,24803.0,25010.75,-1662.0
B_SD15_AD15.0_MA1,368,2025-10-20 09:30:14.238000,2025-10-20 16:14:57.096000,SHORT,2,1,25156.5,25316.5,-1280.0
B_SD15_AD15.0_MA1,406,2025-10-21 15:55:17.779019,2025-10-21 16:14:58.569002,LONG,2,1,25308.0,25244.75,-506.0
B_SD15_AD15.0_MA1,412,2025-10-22 10:21:16.140006,2025-10-22 16:14:59.827000,LONG,2,1,25213.0,25054.5,-1268.0
B_SD15_AD15.0_MA1,414,2025-10-23 09:32:12.804000,2025-10-23 16:14:59.977000,SHORT,2,1,25039.0,25268.0,-1832.0
B_SD15_AD15.0_MA1,421,2025-10-24 10:57:21.239002,2025-10-24 16:14:59.420000,SHORT,2,1,25459.375,25506.5,-377.0
