config_id,cycle_id,start_time,end_time,side,position_size,add_count,avg_entry,last_price,unrealized_pnl_ticks
B_SD40_AD20.0_MA4,2,2025-09-22 09:54:46.706013,2025-09-22 16:14:59.801000,SHORT,5,4,24915.5,24986.75,-1425.0
B_SD40_AD20.0_MA4,4,2025-09-23 12:10:29.901001,2025-09-23 16:14:58.531002,LONG,5,4,24881.0,24836.0,-900.0
B_SD40_AD20.0_MA4,11,2025-09-24 14:45:45.497011,2025-09-24 16:14:59.916000,SHORT,2,1,24735.25,24751.0,-126.0
B_SD40_AD20.0_MA4,18,2025-09-25 14:06:39.987000,2025-09-25 16:14:59.975000,SHORT,5,4,24536.5,24624.75,-1765.0
B_SD40_AD20.0_MA4,31,2025-09-26 12:19:06.724002,2025-09-26 16:14:59.400000,SHORT,5,4,24655.0,24744.5,-1790.0
B_SD40_AD20.0_MA4,34,2025-09-29 10:19:52.072000,2025-09-29 16:14:59.958001,LONG,5,4,24890.75,24829.5,-1225.0
B_SD40_AD20.0_MA4,47,2025-09-30 13:50:03.288003,2025-09-30 16:14:59.908000,SHORT,5,4,24820.5,24858.25,-755.0
B_SD40_AD20.0_MA4,51,2025-10-01 10:02:27.653000,2025-10-01 16:14:56.360000,SHORT,5,4,24843.0,24995.25,-3045.0
B_SD40_AD20.0_MA4,58,2025-10-02 11:50:46.287000,2025-10-02 16:14:59.739000,SHORT,5,4,25085.0,25119.75,-695.0
B_SD40_AD20.0_MA4,66,2025-10-03 14:49:16.195055,2025-10-03 16:14:58.258001,LONG,1,0,24993.5,24982.25,-45.0
B_SD40_AD20.0_MA4,72,2025-10-06 15:47:02.583032,2025-10-06 16:14:59.227000,LONG,1,0,25194.25,25177.0,-69.0
B_SD40_AD20.0_MA4,85,2025-10-07 14:12:08.681000,2025-10-07 16:14:59.067000,SHORT,2,1,25046.25,25058.75,-100.0
B_SD40_AD20.0_MA4,89,2025-10-08 11:15:39.613000,2025-10-08 16:14:59.148000,SHORT,5,4,25259.75,25332.75,-1460.0
B_SD40_AD20.0_MA4,96,2025-10-09 13:40:24.398006,2025-10-09 16:14:57.965000,SHORT,5,4,25249.0,25285.0,-720.0
B_SD40_AD20.0_MA4,101,2025-10-10 10:57:53.308447,2025-10-10 16:14:59.357000,LONG,5,4,25273.0,24442.0,-16620.0
B_SD40_AD20.0_MA4,110,2025-10-13 11:10:30.444000,2025-10-13 16:14:56.794002,SHORT,5,4,24844.7,24915.5,-1416.0
B_SD40_AD20.0_MA4,113,2025-10-14 09:53:53.513000,2025-10-14 16:14:58.161001,SHORT,5,4,24578.65,24730.25,-3032.0
B_SD40_AD20.0_MA4,126,2025-10-15 15:58:30.196000,2025-10-15 16:14:59.909001,SHORT,4,3,24933.0,24942.25,-148.0
B_SD40_AD20.0_MA4,159,2025-10-16 16:11:20.029000,2025-10-16 16:14:59.911000,LONG,2,1,24774.5,24754.25,-162.0
B_SD40_AD20.0_MA4,173,2025-10-17 11:39:06.757000,2025-10-17 16:14:59.062001,SHORT,5,4,24757.45,25010.75,-5066.0
B_SD40_AD20.0_MA4,175,2025-10-20 09:32:32.382000,2025-10-20 16:14:57.096000,SHORT,5,4,25239.0,25316.5,-1550.0
B_SD40_AD20.0_MA4,189,2025-10-21 16:01:00.975011,2025-10-21 16:14:58.569002,LONG,3,2,25260.3333,25244.75,-187.0
B_SD40_AD20.0_MA4,193,2025-10-22 10:05:00.552041,2025-10-22 16:14:59.827000,LONG,5,4,25205.5,25054.5,-3020.0
B_SD40_AD20.0_MA4,205,2025-10-23 16:05:47.813005,2025-10-23 16:14:59.977000,SHORT,1,0,25276.25,25268.0,33.0
B_SD40_AD20.0_MA4,214,2025-10-24 15:55:00.047010,2025-10-24 16:14:59.420000,LONG,2,1,25516.0,25506.5,-76.0
B_SD40_AD20.0_MA4,218,2025-10-27 10:33:19.900000,2025-10-27 16:14:59.986004,SHORT,5,4,25915.75,25973.75,-1160.0
