config_id,cycle_id,start_time,end_time,side,position_size,add_count,avg_entry,last_price,unrealized_pnl_ticks
B_SD30_AD12.0_MA2,2,2025-09-22 09:45:21.291000,2025-09-22 16:14:59.801000,SHORT,3,2,24863.5,24986.75,-1479.0
B_SD30_AD12.0_MA2,10,2025-09-23 12:56:15.884000,2025-09-23 16:14:58.531002,LONG,3,2,24905.0,24836.0,-828.0
B_SD30_AD12.0_MA2,16,2025-09-24 11:33:26.228021,2025-09-24 16:14:59.916000,LONG,3,2,24765.25,24751.0,-171.0
B_SD30_AD12.0_MA2,21,2025-09-25 14:15:06.717000,2025-09-25 16:14:59.975000,SHORT,3,2,24546.5,24624.75,-939.0
B_SD30_AD12.0_MA2,30,2025-09-26 12:19:01.082000,2025-09-26 16:14:59.400000,SHORT,3,2,24624.0,24744.5,-1446.0
B_SD30_AD12.0_MA2,33,2025-09-29 11:13:12.723025,2025-09-29 16:14:59.958001,LONG,3,2,24880.75,24829.5,-615.0
B_SD30_AD12.0_MA2,50,2025-09-30 14:15:05.626001,2025-09-30 16:14:59.908000,SHORT,3,2,24826.25,24858.25,-384.0
B_SD30_AD12.0_MA2,58,2025-10-01 10:00:30.964002,2025-10-01 16:14:56.360000,SHORT,3,2,24799.0,24995.25,-2355.0
B_SD30_AD12.0_MA2,65,2025-10-02 16:01:28.896007,2025-10-02 16:14:59.739000,SHORT,1,0,25123.0,25119.75,13.0
B_SD30_AD12.0_MA2,66,2025-10-03 09:32:14.784000,2025-10-03 16:14:58.258001,LONG,3,2,25151.5,24982.25,-2031.0
B_SD30_AD12.0_MA2,71,2025-10-06 11:04:14.414000,2025-10-06 16:14:59.227000,SHORT,3,2,25172.0,25177.0,-60.0
B_SD30_AD12.0_MA2,73,2025-10-07 10:56:34.413000,2025-10-07 16:14:59.067000,LONG,3,2,25165.0,25058.75,-1275.0
B_SD30_AD12.0_MA2,77,2025-10-08 09:47:27.482003,2025-10-08 16:14:59.148000,SHORT,3,2,25163.75,25332.75,-2028.0
B_SD30_AD12.0_MA2,96,2025-10-09 14:16:16.543001,2025-10-09 16:14:57.965000,SHORT,3,2,25227.0,25285.0,-696.0
B_SD30_AD12.0_MA2,107,2025-10-10 10:57:53.308314,2025-10-10 16:14:59.357000,LONG,3,2,25307.0,24442.0,-10380.0
B_SD30_AD12.0_MA2,116,2025-10-13 11:08:54.025004,2025-10-13 16:14:56.794002,SHORT,3,2,24794.75,24915.5,-1449.0
B_SD30_AD12.0_MA2,123,2025-10-14 10:16:37.231097,2025-10-14 16:14:58.161001,SHORT,3,2,24645.5,24730.25,-1017.0
B_SD30_AD12.0_MA2,154,2025-10-15 15:59:28.042000,2025-10-15 16:14:59.909001,SHORT,3,2,24935.0,24942.25,-87.0
B_SD30_AD12.0_MA2,171,2025-10-16 11:23:02.623007,2025-10-16 16:14:59.911000,LONG,3,2,25087.25,24754.25,-3996.0
B_SD30_AD12.0_MA2,191,2025-10-17 11:48:40.130000,2025-10-17 16:14:59.062001,SHORT,3,2,24833.0,25010.75,-2133.0
B_SD30_AD12.0_MA2,193,2025-10-20 09:31:00.792029,2025-10-20 16:14:57.096000,SHORT,3,2,25191.0,25316.5,-1506.0
B_SD30_AD12.0_MA2,203,2025-10-21 16:02:34.835019,2025-10-21 16:14:58.569002,LONG,2,1,25234.75,25244.75,80.0
B_SD30_AD12.0_MA2,209,2025-10-22 10:23:24.924000,2025-10-22 16:14:59.827000,LONG,3,2,25193.5,25054.5,-1668.0
B_SD30_AD12.0_MA2,211,2025-10-23 09:39:40.116000,2025-10-23 16:14:59.977000,SHORT,3,2,25088.25,25268.0,-2157.0
B_SD30_AD12.0_MA2,212,2025-10-24 09:30:55.176005,2025-10-24 16:14:59.420000,SHORT,3,2,25448.5,25506.5,-696.0
B_SD30_AD12.0_MA2,218,2025-10-27 11:04:08.178019,2025-10-27 16:14:59.986004,SHORT,3,2,25899.5,25973.75,-891.0
B_SD30_AD12.0_MA2,222,2025-10-28 12:32:26.618059,2025-10-28 16:14:59.466000,SHORT,3,2,26123.5,26157.0,-402.0
B_SD30_AD12.0_MA2,249,2025-10-29 16:05:12.819000,2025-10-29 16:14:59.593001,LONG,3,2,26281.0833,26230.25,-610.0
B_SD30_AD12.0_MA2,275,2025-10-30 14:06:40.696000,2025-10-30 16:14:59.886000,LONG,3,2,26029.0,25996.75,-387.0
