config_id,cycle_id,start_time,end_time,side,position_size,add_count,avg_entry,last_price,unrealized_pnl_ticks
B_SD50_AD20.0_MA1,2,2025-09-22 10:40:45.109000,2025-09-22 16:14:59.801000,SHORT,2,1,24925.5,24986.75,-490.0
B_SD50_AD20.0_MA1,4,2025-09-23 12:10:29.901001,2025-09-23 16:14:58.531002,LONG,2,1,24911.0,24836.0,-600.0
B_SD50_AD20.0_MA1,8,2025-09-24 11:10:46.043023,2025-09-24 16:14:59.916000,LONG,2,1,24775.25,24751.0,-194.0
B_SD50_AD20.0_MA1,15,2025-09-25 14:10:46.610005,2025-09-25 16:14:59.975000,SHORT,2,1,24516.25,24624.75,-868.0
B_SD50_AD20.0_MA1,22,2025-09-26 12:20:02.016000,2025-09-26 16:14:59.400000,SHORT,2,1,24634.25,24744.5,-882.0
B_SD50_AD20.0_MA1,25,2025-09-29 10:20:27.784000,2025-09-29 16:14:59.958001,LONG,2,1,24910.75,24829.5,-650.0
B_SD50_AD20.0_MA1,34,2025-09-30 14:12:30.134005,2025-09-30 16:14:59.908000,SHORT,2,1,24820.5,24858.25,-302.0
B_SD50_AD20.0_MA1,36,2025-10-01 10:18:00.951067,2025-10-01 16:14:56.360000,SHORT,2,1,24853.0,24995.25,-1138.0
B_SD50_AD20.0_MA1,39,2025-10-02 13:28:04.908020,2025-10-02 16:14:59.739000,SHORT,2,1,25105.25,25119.75,-116.0
B_SD50_AD20.0_MA1,43,2025-10-03 13:21:29.875000,2025-10-03 16:14:58.258001,LONG,2,1,25023.5,24982.25,-330.0
B_SD50_AD20.0_MA1,48,2025-10-06 11:05:01.135000,2025-10-06 16:14:59.227000,SHORT,2,1,25174.25,25177.0,-22.0
B_SD50_AD20.0_MA1,50,2025-10-07 11:03:37.148003,2025-10-07 16:14:59.067000,LONG,2,1,25147.0,25058.75,-706.0
B_SD50_AD20.0_MA1,52,2025-10-08 09:57:43.056005,2025-10-08 16:14:59.148000,SHORT,2,1,25189.75,25332.75,-1144.0
B_SD50_AD20.0_MA1,55,2025-10-09 15:38:49.447000,2025-10-09 16:14:57.965000,SHORT,2,1,25289.0,25285.0,32.0
B_SD50_AD20.0_MA1,56,2025-10-10 09:37:38.110005,2025-10-10 16:14:59.357000,LONG,2,1,25353.0,24442.0,-7288.0
B_SD50_AD20.0_MA1,61,2025-10-13 11:09:37.856000,2025-10-13 16:14:56.794002,SHORT,2,1,24805.0,24915.5,-884.0
B_SD50_AD20.0_MA1,64,2025-10-14 10:04:31.144000,2025-10-14 16:14:58.161001,SHORT,2,1,24599.5,24730.25,-1046.0
B_SD50_AD20.0_MA1,75,2025-10-15 16:00:06.082000,2025-10-15 16:14:59.909001,SHORT,2,1,24943.0,24942.25,6.0
B_SD50_AD20.0_MA1,84,2025-10-16 11:25:05.068000,2025-10-16 16:14:59.911000,LONG,2,1,25065.0,24754.25,-2486.0
B_SD50_AD20.0_MA1,92,2025-10-17 11:48:26.592051,2025-10-17 16:14:59.062001,SHORT,2,1,24825.5,25010.75,-1482.0
B_SD50_AD20.0_MA1,94,2025-10-20 09:36:59.803001,2025-10-20 16:14:57.096000,SHORT,2,1,25229.0,25316.5,-700.0
B_SD50_AD20.0_MA1,100,2025-10-21 16:02:34.835019,2025-10-21 16:14:58.569002,LONG,1,0,25240.75,25244.75,16.0
B_SD50_AD20.0_MA1,102,2025-10-22 10:26:22.633034,2025-10-22 16:14:59.827000,LONG,2,1,25175.25,25054.5,-966.0
B_SD50_AD20.0_MA1,106,2025-10-23 10:23:51.373005,2025-10-23 16:14:59.977000,SHORT,2,1,25146.25,25268.0,-974.0
B_SD50_AD20.0_MA1,112,2025-10-24 11:15:10.796000,2025-10-24 16:14:59.420000,SHORT,2,1,25516.5,25506.5,80.0
B_SD50_AD20.0_MA1,114,2025-10-27 11:15:07.690025,2025-10-27 16:14:59.986004,SHORT,2,1,25905.5,25973.75,-546.0
B_SD50_AD20.0_MA1,116,2025-10-28 12:48:12.294005,2025-10-28 16:14:59.466000,SHORT,2,1,26141.5,26157.0,-124.0
B_SD50_AD20.0_MA1,123,2025-10-29 16:05:12.886003,2025-10-29 16:14:59.593001,LONG,2,1,26280.75,26230.25,-404.0
B_SD50_AD20.0_MA1,135,2025-10-30 14:08:00.024004,2025-10-30 16:14:59.886000,LONG,2,1,26015.0,25996.75,-146.0
B_SD50_AD20.0_MA1,141,2025-10-31 11:46:59.561046,2025-10-31 16:14:59.777001,LONG,2,1,26088.875,25984.25,-837.0
B_SD50_AD20.0_MA1,147,2025-11-03 16:13:08.699000,2025-11-03 16:14:59.981000,LONG,1,0,26115.75,26125.25,38.0
B_SD50_AD20.0_MA1,153,2025-11-04 13:03:51.917000,2025-11-04 16:14:59.568001,LONG,2,1,25652.0,25567.25,-678.0
B_SD50_AD20.0_MA1,154,2025-11-05 09:35:20.206000,2025-11-05 16:14:59.952001,SHORT,2,1,25502.25,25704.75,-1620.0
B_SD50_AD20.0_MA1,158,2025-11-06 09:50:31.003311,2025-11-06 16:14:59.987000,LONG,2,1,25604.0,25290.25,-2510.0
B_SD50_AD20.0_MA1,163,2025-11-07 15:30:29.750000,2025-11-07 16:14:59.188000,SHORT,2,1,25090.75,25198.5,-862.0
B_SD50_AD20.0_MA1,169,2025-11-10 12:55:35.179000,2025-11-10 16:14:59.165004,SHORT,2,1,25648.75,25734.75,-688.0
B_SD50_AD20.0_MA1,174,2025-11-11 12:05:39.135004,2025-11-11 16:14:59.117001,SHORT,2,1,25565.0,25676.0,-888.0
B_SD50_AD20.0_MA1,176,2025-11-12 09:34:09.889006,2025-11-12 16:14:59.517000,LONG,2,1,25668.25,25647.5,-166.0
B_SD50_AD20.0_MA1,182,2025-11-13 10:33:17.266008,2025-11-13 16:14:59.997000,LONG,2,1,25347.5,25156.25,-1530.0
