config_id,cycle_id,start_time,end_time,side,position_size,add_count,avg_entry,last_price,unrealized_pnl_ticks
B_SD15_AD7.5_MA1,6,2025-09-22 09:43:06.840007,2025-09-22 16:14:59.801000,SHORT,2,1,24849.25,24986.75,-1100.0
B_SD15_AD7.5_MA1,10,2025-09-23 09:40:34.120000,2025-09-23 16:14:58.531002,LONG,2,1,24967.25,24836.0,-1050.0
B_SD15_AD7.5_MA1,12,2025-09-24 09:32:34.616009,2025-09-24 16:14:59.916000,LONG,2,1,24851.5,24751.0,-804.0
B_SD15_AD7.5_MA1,25,2025-09-25 14:34:37.753000,2025-09-25 16:14:59.975000,SHORT,2,1,24588.25,24624.75,-292.0
B_SD15_AD7.5_MA1,48,2025-09-26 12:13:45.696000,2025-09-26 16:14:59.400000,SHORT,2,1,24597.75,24744.5,-1174.0
B_SD15_AD7.5_MA1,57,2025-09-29 11:24:49.478000,2025-09-29 16:14:59.958001,LONG,2,1,24869.5,24829.5,-320.0
B_SD15_AD7.5_MA1,82,2025-09-30 14:10:41.678004,2025-09-30 16:14:59.908000,SHORT,2,1,24801.5,24858.25,-454.0
B_SD15_AD7.5_MA1,85,2025-10-01 09:50:35.203000,2025-10-01 16:14:56.360000,SHORT,2,1,24752.0,24995.25,-1946.0
B_SD15_AD7.5_MA1,87,2025-10-02 09:32:30.628000,2025-10-02 16:14:59.739000,LONG,2,1,25131.5,25119.75,-94.0
B_SD15_AD7.5_MA1,98,2025-10-03 12:10:14.406000,2025-10-03 16:14:58.258001,LONG,2,1,25137.25,24982.25,-1240.0
B_SD15_AD7.5_MA1,110,2025-10-06 15:56:01.175001,2025-10-06 16:14:59.227000,LONG,2,1,25187.5,25177.0,-84.0
B_SD15_AD7.5_MA1,118,2025-10-07 10:35:27.541000,2025-10-07 16:14:59.067000,LONG,2,1,25210.75,25058.75,-1216.0
B_SD15_AD7.5_MA1,120,2025-10-08 09:31:05.265002,2025-10-08 16:14:59.148000,SHORT,2,1,25105.75,25332.75,-1816.0
B_SD15_AD7.5_MA1,126,2025-10-09 09:51:48.140000,2025-10-09 16:14:57.965000,LONG,2,1,25295.25,25285.0,-82.0
B_SD15_AD7.5_MA1,128,2025-10-10 10:57:56.994016,2025-10-10 16:14:59.357000,LONG,2,1,25286.75,24442.0,-6758.0
B_SD15_AD7.5_MA1,149,2025-10-13 11:11:27.870008,2025-10-13 16:14:56.794002,SHORT,2,1,24828.75,24915.5,-694.0
B_SD15_AD7.5_MA1,162,2025-10-14 10:13:00.316000,2025-10-14 16:14:58.161001,SHORT,2,1,24612.5,24730.25,-942.0
B_SD15_AD7.5_MA1,202,2025-10-15 16:12:18.045002,2025-10-15 16:14:59.909001,LONG,1,0,24942.0,24942.25,1.0
B_SD15_AD7.5_MA1,237,2025-10-16 11:39:41.578000,2025-10-16 16:14:59.911000,LONG,2,1,25041.5,24754.25,-2298.0
B_SD15_AD7.5_MA1,255,2025-10-17 11:44:06.106000,2025-10-17 16:14:59.062001,SHORT,2,1,24784.0,25010.75,-1814.0
B_SD15_AD7.5_MA1,257,2025-10-20 09:30:14.238000,2025-10-20 16:14:57.096000,SHORT,2,1,25152.75,25316.5,-1310.0
B_SD15_AD7.5_MA1,281,2025-10-21 16:01:01.822000,2025-10-21 16:14:58.569002,LONG,2,1,25266.25,25244.75,-172.0
B_SD15_AD7.5_MA1,289,2025-10-22 10:20:33.461000,2025-10-22 16:14:59.827000,LONG,2,1,25224.25,25054.5,-1358.0
B_SD15_AD7.5_MA1,295,2025-10-23 09:35:53.609005,2025-10-23 16:14:59.977000,SHORT,2,1,25042.5,25268.0,-1804.0
B_SD15_AD7.5_MA1,302,2025-10-24 10:57:21.239000,2025-10-24 16:14:59.420000,SHORT,2,1,25455.25,25506.5,-410.0
B_SD15_AD7.5_MA1,316,2025-10-27 10:25:21.259011,2025-10-27 16:14:59.986004,SHORT,2,1,25848.75,25973.75,-1000.0
B_SD15_AD7.5_MA1,336,2025-10-28 11:59:39.434000,2025-10-28 16:14:59.466000,SHORT,2,1,26062.75,26157.0,-754.0
B_SD15_AD7.5_MA1,402,2025-10-29 16:14:47.941000,2025-10-29 16:14:59.593001,SHORT,1,0,26234.25,26230.25,16.0
B_SD15_AD7.5_MA1,422,2025-10-30 10:07:51.791000,2025-10-30 16:14:59.886000,LONG,2,1,26130.75,25996.75,-1072.0
B_SD15_AD7.5_MA1,432,2025-10-31 11:21:20.652000,2025-10-31 16:14:59.777001,LONG,2,1,26157.75,25984.25,-1388.0
B_SD15_AD7.5_MA1,437,2025-11-03 09:34:07.254001,2025-11-03 16:14:59.981000,LONG,2,1,26246.5,26125.25,-970.0
B_SD15_AD7.5_MA1,447,2025-11-04 12:51:39.918000,2025-11-04 16:14:59.568001,LONG,2,1,25708.25,25567.25,-1128.0
B_SD15_AD7.5_MA1,453,2025-11-05 09:46:27.180000,2025-11-05 16:14:59.952001,SHORT,2,1,25568.0,25704.75,-1094.0
B_SD15_AD7.5_MA1,467,2025-11-06 09:49:31.859000,2025-11-06 16:14:59.987000,LONG,2,1,25648.0,25290.25,-2862.0
B_SD15_AD7.5_MA1,488,2025-11-07 15:50:22.001000,2025-11-07 16:14:59.188000,SHORT,2,1,25107.375,25198.5,-729.0
B_SD15_AD7.5_MA1,496,2025-11-10 12:27:59.869004,2025-11-10 16:14:59.165004,SHORT,2,1,25565.0,25734.75,-1358.0
B_SD15_AD7.5_MA1,510,2025-11-11 12:52:49.053000,2025-11-11 16:14:59.117001,SHORT,2,1,25616.0,25676.0,-480.0
B_SD15_AD7.5_MA1,512,2025-11-12 09:30:40.798000,2025-11-12 16:14:59.517000,LONG,2,1,25744.75,25647.5,-778.0
B_SD15_AD7.5_MA1,513,2025-11-13 09:30:02.440000,2025-11-13 16:14:59.997000,LONG,2,1,25488.75,25156.25,-2660.0
B_SD15_AD7.5_MA1,519,2025-11-14 09:36:13.078005,2025-11-14 16:14:59.937000,SHORT,2,1,24749.5,25132.25,-3062.0
B_SD15_AD7.5_MA1,543,2025-11-17 13:54:47.304000,2025-11-17 16:14:59.620002,LONG,2,1,24963.375,24920.75,-341.0
B_SD15_AD7.5_MA1,600,2025-11-18 15:02:36.117000,2025-11-18 16:14:59.019000,LONG,2,1,24746.75,24561.75,-1480.0
B_SD15_AD7.5_MA1,635,2025-11-19 14:48:23.955001,2025-11-19 16:14:59.811000,SHORT,2,1,24601.5,24723.75,-978.0
B_SD15_AD7.5_MA1,666,2025-11-20 10:48:16.011032,2025-11-20 16:14:59.721000,LONG,2,1,25246.25,24114.25,-9056.0
B_SD15_AD7.5_MA1,741,2025-11-21 11:35:32.627000,2025-11-21 16:14:59.956000,SHORT,2,1,24188.75,24324.0,-1082.0
B_SD15_AD7.5_MA1,747,2025-11-24 09:31:00.970000,2025-11-24 16:14:59.899000,SHORT,2,1,24556.125,24960.0,-3231.0
B_SD15_AD7.5_MA1,759,2025-11-25 11:50:07.714005,2025-11-25 16:14:59.566001,SHORT,2,1,24868.75,25077.25,-1668.0
B_SD15_AD7.5_MA1,777,2025-11-26 10:59:00.465001,2025-11-26 16:14:58.730000,SHORT,2,1,25263.75,25313.25,-396.0
B_SD15_AD7.5_MA1,778,2025-11-27 09:33:44.550000,2025-11-27 12:59:59.018000,LONG,2,1,25312.875,25301.75,-89.0
B_SD15_AD7.5_MA1,796,2025-11-28 11:29:12.973002,2025-11-28 13:14:59.535002,SHORT,2,1,25391.75,25484.5,-742.0
B_SD15_AD7.5_MA1,804,2025-12-01 09:45:46.208000,2025-12-01 16:14:58.132000,SHORT,2,1,25273.75,25389.5,-926.0
B_SD15_AD7.5_MA1,813,2025-12-02 11:35:17.372000,2025-12-02 16:14:57.527000,SHORT,2,1,25466.5,25595.5,-1032.0
B_SD15_AD7.5_MA1,846,2025-12-03 09:54:31.839000,2025-12-03 16:14:59.135000,SHORT,2,1,25484.25,25649.0,-1318.0
B_SD15_AD7.5_MA1,848,2025-12-04 09:30:23.670001,2025-12-04 16:14:59.213002,LONG,2,1,25685.75,25632.25,-428.0
B_SD15_AD7.5_MA1,872,2025-12-05 15:53:16.654001,2025-12-05 16:14:59.842000,SHORT,2,1,25698.5,25733.5,-280.0
B_SD15_AD7.5_MA1,879,2025-12-08 09:39:18.127000,2025-12-08 16:14:59.031000,LONG,2,1,25809.75,25661.0,-1190.0
B_SD15_AD7.5_MA1,899,2025-12-09 10:49:59.244000,2025-12-09 16:14:59.423000,SHORT,2,1,25656.25,25684.5,-226.0
B_SD15_AD7.5_MA1,929,2025-12-10 14:44:40.908000,2025-12-10 16:14:59.644000,SHORT,2,1,25667.25,25788.25,-968.0
B_SD15_AD7.5_MA1,948,2025-12-11 13:34:10.118003,2025-12-11 16:14:59.016001,SHORT,2,1,25631.0,25744.0,-904.0
