hypothesis_id	hypothesis_name	dimension	source_id	cycle_pf	delta_pf	total_pnl_ticks	delta_pnl	n_cycles	win_rate	sharpe	max_drawdown_ticks	avg_winner_ticks	avg_loser_ticks	beats_baseline	feature_compute_sec	simulator_sec	total_sec	classification
H7	ZZ Oscillator gating	C	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0318	8.3635	8.3953	OK
H7	ZZ Oscillator gating	C	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0336	7.8304	7.8641	OK
H7	ZZ Oscillator gating	C	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1017	8.0587	8.1604	OK
H11	Time-of-day conditioning	C	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0312	8.3707	8.402	OK
H11	Time-of-day conditioning	C	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0334	7.8584	7.8918	OK
H11	Time-of-day conditioning	C	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1111	8.0636	8.1747	OK
H12	Day-of-week conditioning	C	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.034	8.5024	8.5364	OK
H12	Day-of-week conditioning	C	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0332	7.8741	7.9073	OK
H12	Day-of-week conditioning	C	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1113	8.0313	8.1427	OK
H16	Bar formation quality filter	C	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0358	8.381	8.4167	OK
