block_start,parent_threshold,sample_count,completion_0_retrace,completion_1_retrace,waste_pct,median_child_swing
09:30,15,5940,100.0,76.1,58.9,12.0
10:00,15,4019,100.0,76.8,58.0,12.0
10:30,15,2694,100.0,73.1,57.7,12.0
11:00,15,2215,100.0,75.9,57.7,12.0
11:30,15,2028,100.0,76.1,57.3,12.0
12:00,15,1638,100.0,77.4,59.5,12.0
12:30,15,1542,100.0,75.1,57.1,12.25
13:00,15,1385,100.0,76.8,58.0,12.0
13:30,15,1252,100.0,77.2,57.7,12.0
14:00,15,1243,100.0,79.3,59.0,12.0
14:30,15,1335,100.0,79.6,57.4,12.0
15:00,15,1087,100.0,78.2,60.3,11.75
15:30,15,2134,100.0,80.5,57.4,12.0
09:30,25,2190,100.0,75.7,64.9,17.0
10:00,25,1399,100.0,80.2,66.2,17.0
10:30,25,1001,100.0,82.9,64.0,17.0
11:00,25,840,100.0,78.3,62.8,17.25
11:30,25,720,100.0,81.7,65.3,17.0
12:00,25,599,100.0,75.6,64.2,17.0
12:30,25,570,100.0,78.5,65.3,17.5
13:00,25,479,100.0,85.9,64.8,17.25
13:30,25,469,100.0,74.0,64.6,17.0
14:00,25,441,100.0,84.4,62.1,17.0
14:30,25,472,100.0,85.9,63.2,17.0
15:00,25,390,100.0,81.8,62.8,17.0
15:30,25,700,100.0,81.7,62.0,17.0
09:30,50,626,100.0,73.8,59.3,42.0
10:00,50,329,100.0,76.8,57.1,42.0
10:30,50,258,100.0,71.4,56.7,43.38
11:00,50,203,100.0,74.0,60.6,42.38
11:30,50,177,100.0,77.8,56.6,41.75
12:00,50,143,100.0,83.3,59.3,43.0
12:30,50,150,100.0,67.7,45.0,44.5
13:00,50,114,100.0,86.2,58.7,41.88
13:30,50,110,100.0,88.0,58.6,42.25
14:00,50,110,100.0,77.3,57.8,40.0
14:30,50,105,100.0,85.0,43.7,41.25
15:00,50,83,100.0,77.3,59.8,40.0
15:30,50,125,100.0,78.9,51.1,41.0
