hypothesis_id	hypothesis_name	dimension	profile	source_id	params_str	cycle_pf	delta_pf	beats_baseline	n_cycles	win_rate	total_pnl_ticks	worst_cycle_dd	max_drawdown_ticks	sharpe	max_level_exposure_pct	tail_ratio	calmar_ratio	classification	run_sec
H1	ATR-scaled step	A	MOST_CONSISTENT	bar_data_250tick_rot	{"hypothesis.trigger_params.multiplier": 0.4}	1.7928	0.0	False	702	0.8946	8265.0	9644.0	9644.0	0.0322	0.0	0.2112	0.857	OK	4.9838
H1	ATR-scaled step	A	MOST_CONSISTENT	bar_data_10sec_rot	{"hypothesis.trigger_params.multiplier": 0.4}	1.7218	0.0	False	368	0.9212	11363.0	13981.0	13981.0	0.0396	27.72	0.1473	0.8127	OK	5.9157
H1	ATR-scaled step	A	MAX_PROFIT	bar_data_250vol_rot	{"hypothesis.trigger_params.multiplier": 0.5}	2.2037	0.0	False	624	0.9583	10537.0	8569.0	8569.0	0.049	0.0	0.0958	1.2297	OK	5.2258
H1	ATR-scaled step	A	MAX_PROFIT	bar_data_250tick_rot	{"hypothesis.trigger_params.multiplier": 0.5}	1.8413	0.0	False	360	0.9972	4489.0	5336.0	5336.0	0.0441	0.0	0.0051	0.8413	OK	4.6951
H1	ATR-scaled step	A	MAX_PROFIT	bar_data_10sec_rot	{"hypothesis.trigger_params.multiplier": 0.5}	1.7218	0.0	False	368	0.9212	11363.0	13981.0	13981.0	0.0396	27.72	0.1473	0.8127	OK	5.838
H1	ATR-scaled step	A	SAFEST	bar_data_250vol_rot	{"hypothesis.trigger_params.multiplier": 0.5}	1.0209	0.0	False	8532	0.6402	3106.0	753.0	7464.0	0.005	0.0	0.5738	0.4161	OK	8.024
H1	ATR-scaled step	A	SAFEST	bar_data_250tick_rot	{"hypothesis.trigger_params.multiplier": 0.5}	1.2154	0.0	False	214	0.9953	1003.0	4656.0	4656.0	0.0147	0.0	0.0057	0.2154	OK	4.6247
H1	ATR-scaled step	A	SAFEST	bar_data_10sec_rot	{"hypothesis.trigger_params.multiplier": 0.5}	1.1021	0.0	False	100	0.99	557.0	5455.0	5455.0	0.0101	0.0	0.0111	0.1021	OK	5.766
H1	ATR-scaled step	A	MOST_CONSISTENT	bar_data_250vol_rot	{"hypothesis.trigger_params.multiplier": 0.5}	2.2037	0.0	False	624	0.9583	10537.0	8569.0	8569.0	0.049	0.0	0.0958	1.2297	OK	5.2477
H1	ATR-scaled step	A	MOST_CONSISTENT	bar_data_250tick_rot	{"hypothesis.trigger_params.multiplier": 0.5}	1.7928	0.0	False	702	0.8946	8265.0	9644.0	9644.0	0.0322	0.0	0.2112	0.857	OK	4.8893
H1	ATR-scaled step	A	MOST_CONSISTENT	bar_data_10sec_rot	{"hypothesis.trigger_params.multiplier": 0.5}	1.7218	0.0	False	368	0.9212	11363.0	13981.0	13981.0	0.0396	27.72	0.1473	0.8127	OK	5.946
H1	ATR-scaled step	A	MAX_PROFIT	bar_data_250vol_rot	{"hypothesis.trigger_params.multiplier": 0.75}	2.2037	0.0	False	624	0.9583	10537.0	8569.0	8569.0	0.049	0.0	0.0958	1.2297	OK	5.3693
H1	ATR-scaled step	A	MAX_PROFIT	bar_data_250tick_rot	{"hypothesis.trigger_params.multiplier": 0.75}	1.8413	0.0	False	360	0.9972	4489.0	5336.0	5336.0	0.0441	0.0	0.0051	0.8413	OK	4.8894
H1	ATR-scaled step	A	MAX_PROFIT	bar_data_10sec_rot	{"hypothesis.trigger_params.multiplier": 0.75}	1.7218	0.0	False	368	0.9212	11363.0	13981.0	13981.0	0.0396	27.72	0.1473	0.8127	OK	5.9608
H1	ATR-scaled step	A	SAFEST	bar_data_250vol_rot	{"hypothesis.trigger_params.multiplier": 0.75}	1.0209	0.0	False	8532	0.6402	3106.0	753.0	7464.0	0.005	0.0	0.5738	0.4161	OK	8.0626
H1	ATR-scaled step	A	SAFEST	bar_data_250tick_rot	{"hypothesis.trigger_params.multiplier": 0.75}	1.2154	0.0	False	214	0.9953	1003.0	4656.0	4656.0	0.0147	0.0	0.0057	0.2154	OK	4.6828
H1	ATR-scaled step	A	SAFEST	bar_data_10sec_rot	{"hypothesis.trigger_params.multiplier": 0.75}	1.1021	0.0	False	100	0.99	557.0	5455.0	5455.0	0.0101	0.0	0.0111	0.1021	OK	5.896
H1	ATR-scaled step	A	MOST_CONSISTENT	bar_data_250vol_rot	{"hypothesis.trigger_params.multiplier": 0.75}	2.2037	0.0	False	624	0.9583	10537.0	8569.0	8569.0	0.049	0.0	0.0958	1.2297	OK	5.3191
H1	ATR-scaled step	A	MOST_CONSISTENT	bar_data_250tick_rot	{"hypothesis.trigger_params.multiplier": 0.75}	1.7928	0.0	False	702	0.8946	8265.0	9644.0	9644.0	0.0322	0.0	0.2112	0.857	OK	4.9438
H1	ATR-scaled step	A	MOST_CONSISTENT	bar_data_10sec_rot	{"hypothesis.trigger_params.multiplier": 0.75}	1.7218	0.0	False	368	0.9212	11363.0	13981.0	13981.0	0.0396	27.72	0.1473	0.8127	OK	5.9992
H1	ATR-scaled step	A	MAX_PROFIT	bar_data_250vol_rot	{"hypothesis.trigger_params.multiplier": 1.0}	2.2037	0.0	False	624	0.9583	10537.0	8569.0	8569.0	0.049	0.0	0.0958	1.2297	OK	5.3622
H1	ATR-scaled step	A	MAX_PROFIT	bar_data_250tick_rot	{"hypothesis.trigger_params.multiplier": 1.0}	1.8413	0.0	False	360	0.9972	4489.0	5336.0	5336.0	0.0441	0.0	0.0051	0.8413	OK	4.8052
H1	ATR-scaled step	A	MAX_PROFIT	bar_data_10sec_rot	{"hypothesis.trigger_params.multiplier": 1.0}	1.7218	0.0	False	368	0.9212	11363.0	13981.0	13981.0	0.0396	27.72	0.1473	0.8127	OK	5.8805
H1	ATR-scaled step	A	SAFEST	bar_data_250vol_rot	{"hypothesis.trigger_params.multiplier": 1.0}	1.0209	0.0	False	8532	0.6402	3106.0	753.0	7464.0	0.005	0.0	0.5738	0.4161	OK	7.9858
H1	ATR-scaled step	A	SAFEST	bar_data_250tick_rot	{"hypothesis.trigger_params.multiplier": 1.0}	1.2154	0.0	False	214	0.9953	1003.0	4656.0	4656.0	0.0147	0.0	0.0057	0.2154	OK	4.5496
H1	ATR-scaled step	A	SAFEST	bar_data_10sec_rot	{"hypothesis.trigger_params.multiplier": 1.0}	1.1021	0.0	False	100	0.99	557.0	5455.0	5455.0	0.0101	0.0	0.0111	0.1021	OK	5.8015
H1	ATR-scaled step	A	MOST_CONSISTENT	bar_data_250vol_rot	{"hypothesis.trigger_params.multiplier": 1.0}	2.2037	0.0	False	624	0.9583	10537.0	8569.0	8569.0	0.049	0.0	0.0958	1.2297	OK	5.2339
H1	ATR-scaled step	A	MOST_CONSISTENT	bar_data_250tick_rot	{"hypothesis.trigger_params.multiplier": 1.0}	1.7928	0.0	False	702	0.8946	8265.0	9644.0	9644.0	0.0322	0.0	0.2112	0.857	OK	4.9497
H1	ATR-scaled step	A	MOST_CONSISTENT	bar_data_10sec_rot	{"hypothesis.trigger_params.multiplier": 1.0}	1.7218	0.0	False	368	0.9212	11363.0	13981.0	13981.0	0.0396	27.72	0.1473	0.8127	OK	5.9687
H3	SD band triggers	A	MAX_PROFIT	bar_data_250vol_rot	{"hypothesis.trigger_params.band_type": "stddev1"}	2.2037	0.0	False	624	0.9583	10537.0	8569.0	8569.0	0.049	0.0	0.0958	1.2297	OK	5.3582
H3	SD band triggers	A	MAX_PROFIT	bar_data_250tick_rot	{"hypothesis.trigger_params.band_type": "stddev1"}	1.8413	0.0	False	360	0.9972	4489.0	5336.0	5336.0	0.0441	0.0	0.0051	0.8413	OK	4.8707
