config_id,step_dist,add_dist,max_adds,reversal_target,cycle_count,success_count,failure_count,success_rate,win_count,loss_count,win_rate,gross_pnl,net_pnl,total_costs,npf_gross,npf_net,avg_win_net,avg_loss_net,max_drawdown_ticks,profit_per_dd,max_position,avg_cycle_duration_bars,cycles_0_adds,cycles_1_add,cycles_multi_add,pnl_0_adds,pnl_1_add,pnl_multi_add,failure_after_failure,incomplete_cycles,incomplete_unrealized_pnl,adjusted_net_pnl,avg_progress_hwm_success,avg_progress_hwm_failure,avg_cycle_waste_pct,first_cycle_success_rate,later_cycle_success_rate
FA_SD15_R03_MA3_RT60,15.0,4.5,3,0.6,22806,14300,8506,0.627,14300,8506,0.627,28885.0,-204783.0,233668.0,1.0257,0.8372,73.6511,-147.8949,205441.0,-0.9968,4,1106.71,7653,3769,11384,249788.0,313511.0,-768082.0,3237,60,154.0,-204629.0,60.91,24.08,21.99,0.75,0.6267
FA_SD15_R03_MA3_RT70,15.0,4.5,3,0.7,19662,11650,8012,0.5925,11650,8012,0.5925,22434.0,-186578.0,209012.0,1.0212,0.8426,85.7355,-147.9527,189441.0,-0.9849,4,1281.07,6000,3208,10454,231267.0,305205.0,-723050.0,3332,60,203.0,-186375.0,70.85,27.99,23.01,0.7167,0.5921
FA_SD15_R03_MA3_RT80,15.0,4.5,3,0.8,17058,9554,7504,0.5601,9554,7504,0.5601,32453.0,-155807.0,188260.0,1.0328,0.8596,99.8486,-147.8893,158443.0,-0.9834,4,1474.11,4701,2647,9710,208238.0,283651.0,-647696.0,3338,60,658.0,-155149.0,80.72,31.15,24.44,0.7167,0.5595
FA_SD15_R04_MA1_RT100,15.0,6.0,1,1.0,13705,6906,6799,0.5039,6906,6799,0.5039,14737.0,-79259.0,93996.0,1.0225,0.8881,91.1006,-104.1918,82323.0,-0.9628,2,1831.95,3941,9764,0,221158.0,-300417.0,0.0,3417,60,352.0,-78907.0,100.58,37.56,26.91,0.7,0.503
FA_SD15_R04_MA1_RT50,15.0,6.0,1,0.5,27286,18236,9050,0.6683,18236,9050,0.6683,24155.0,-145765.0,169920.0,1.0278,0.8454,43.704,-104.1715,145912.0,-0.999,2,926.74,12122,15164,0,323218.0,-468983.0,0.0,3060,60,-133.0,-145898.0,51.04,20.72,20.99,0.75,0.6681
FA_SD15_R04_MA1_RT60,15.0,6.0,1,0.6,22806,14300,8506,0.627,14300,8506,0.627,16059.0,-129757.0,145816.0,1.0196,0.8535,52.8809,-104.1564,130336.0,-0.9956,2,1106.71,9188,13618,0,299590.0,-429347.0,0.0,3237,60,-331.0,-130088.0,60.91,24.08,21.99,0.75,0.6267
FA_SD15_R04_MA1_RT70,15.0,6.0,1,0.7,19662,11650,8012,0.5925,11650,8012,0.5925,18858.0,-109550.0,128408.0,1.0245,0.8688,62.2553,-104.1967,112209.0,-0.9763,2,1281.07,7252,12410,0,279385.0,-388935.0,0.0,3332,60,-110.0,-109660.0,70.85,27.99,23.01,0.7167,0.5921
FA_SD15_R04_MA1_RT80,15.0,6.0,1,0.8,17058,9554,7504,0.5601,9554,7504,0.5601,20663.0,-93017.0,113680.0,1.0286,0.881,72.0624,-104.1446,94766.0,-0.9815,2,1474.11,5726,11332,0,253740.0,-346757.0,0.0,3338,60,-15.0,-93032.0,80.72,31.15,24.44,0.7167,0.5595
FA_SD15_R04_MA2_RT100,15.0,6.0,2,1.0,13705,6906,6799,0.5039,6906,6799,0.5039,16207.0,-107945.0,124152.0,1.022,0.8678,102.6347,-120.1265,110895.0,-0.9734,3,1831.95,3941,2225,7539,221158.0,301466.0,-630569.0,3417,60,625.0,-107320.0,100.58,37.56,26.91,0.7,0.503
FA_SD15_R04_MA2_RT50,15.0,6.0,2,0.5,27286,18236,9050,0.6683,18236,9050,0.6683,26742.0,-184950.0,211692.0,1.0273,0.8299,49.4698,-120.1194,185150.0,-0.9989,3,926.74,12122,4721,10443,323218.0,363571.0,-871739.0,3060,60,28.0,-184922.0,51.04,20.72,20.99,0.75,0.6681
FA_SD15_R04_MA2_RT60,15.0,6.0,2,0.6,22806,14300,8506,0.627,14300,8506,0.627,21412.0,-163432.0,184844.0,1.0233,0.84,60.0063,-120.0943,163965.0,-0.9967,3,1106.71,9188,3861,9757,299590.0,342811.0,-805833.0,3237,60,164.0,-163268.0,60.91,24.08,21.99,0.75,0.6267
FA_SD15_R04_MA2_RT70,15.0,6.0,2,0.7,19662,11650,8012,0.5925,11650,8012,0.5925,19784.0,-144892.0,164676.0,1.0228,0.8495,70.1869,-120.1409,147210.0,-0.9843,3,1281.07,7252,3343,9067,279385.0,336898.0,-761175.0,3332,60,124.0,-144768.0,70.85,27.99,23.01,0.7167,0.5921
FA_SD15_R04_MA2_RT80,15.0,6.0,2,0.8,17058,9554,7504,0.5601,9554,7504,0.5601,26645.0,-120939.0,147584.0,1.0329,0.8658,81.6538,-120.0772,123144.0,-0.9821,3,1474.11,5726,2856,8476,253740.0,321079.0,-695758.0,3338,60,492.0,-120447.0,80.72,31.15,24.44,0.7167,0.5595
FA_SD15_R05_MA1_RT100,15.0,7.5,1,1.0,13705,6906,6799,0.5039,6906,6799,0.5039,10809.0,-80431.0,91240.0,1.0176,0.8795,85.018,-98.1858,82664.0,-0.973,2,1831.95,4630,9075,0,259975.0,-340406.0,0.0,3417,60,470.0,-79961.0,100.58,37.56,26.91,0.7,0.503
FA_SD15_R05_MA1_RT50,15.0,7.5,1,0.5,27286,18236,9050,0.6683,18236,9050,0.6683,17921.0,-145651.0,163572.0,1.0219,0.8361,40.7576,-98.2218,145791.0,-0.999,2,926.74,13709,13577,0,365051.0,-510702.0,0.0,3060,60,-139.0,-145790.0,51.04,20.72,20.99,0.75,0.6681
FA_SD15_R05_MA1_RT60,15.0,7.5,1,0.6,22806,14300,8506,0.627,14300,8506,0.627,14831.0,-126053.0,140884.0,1.0193,0.8491,49.5982,-98.2021,126631.0,-0.9954,2,1106.71,10421,12385,0,339536.0,-465589.0,0.0,3237,60,-148.0,-126201.0,60.91,24.08,21.99,0.75,0.6267
FA_SD15_R05_MA1_RT70,15.0,7.5,1,0.7,19662,11650,8012,0.5925,11650,8012,0.5925,15074.0,-109042.0,124116.0,1.0209,0.8614,58.1853,-98.2153,110951.0,-0.9828,2,1281.07,8325,11337,0,320443.0,-429485.0,0.0,3332,60,-29.0,-109071.0,70.85,27.99,23.01,0.7167,0.5921
FA_SD15_R05_MA1_RT80,15.0,7.5,1,0.8,17058,9554,7504,0.5601,9554,7504,0.5601,18441.0,-91703.0,110144.0,1.0272,0.8755,67.5261,-98.1939,93302.0,-0.9829,2,1474.11,6610,10448,0,292940.0,-384643.0,0.0,3338,60,-40.0,-91743.0,80.72,31.15,24.44,0.7167,0.5595
FA_SD20_MA0_RT100,20.0,8.0,0,1.0,7608,3835,3773,0.5041,3835,3773,0.5041,4951.0,-25599.0,30550.0,1.0163,0.9195,76.2665,-84.3045,30934.0,-0.8275,1,3260.98,7608,0,0,-25599.0,0.0,0.0,1902,59,-51.0,-25650.0,100.36,39.01,36.11,0.5932,0.5034
FA_SD20_MA0_RT50,20.0,8.0,0,0.5,15251,10272,4979,0.6735,10272,4979,0.6735,16125.0,-44997.0,61122.0,1.0403,0.8928,36.4826,-84.3033,45764.0,-0.9832,1,1642.01,15251,0,0,-44997.0,0.0,0.0,1649,59,-945.0,-45942.0,50.61,21.17,28.28,0.8136,0.673
FA_SD20_MA0_RT60,20.0,8.0,0,0.6,12794,8059,4735,0.6299,8059,4735,0.6299,10103.0,-41191.0,51294.0,1.0266,0.8968,44.4264,-84.3132,42501.0,-0.9692,1,1954.68,12794,0,0,-41191.0,0.0,0.0,1794,59,-289.0,-41480.0,60.55,24.63,29.4,0.7288,0.6294
FA_SD20_MA0_RT70,20.0,8.0,0,0.7,10870,6480,4390,0.5961,6480,4390,0.5961,13058.0,-30540.0,43598.0,1.037,0.9175,52.3991,-84.3021,31757.0,-0.9617,1,2299.42,10870,0,0,-30540.0,0.0,0.0,1792,59,-498.0,-31038.0,70.51,28.49,31.17,0.6949,0.5956
FA_SD20_MA0_RT80,20.0,8.0,0,0.8,9595,5404,4191,0.5632,5404,4191,0.5632,11374.0,-27124.0,38498.0,1.0338,0.9232,60.3459,-84.2837,28863.0,-0.9397,1,2590.05,9595,0,0,-27124.0,0.0,0.0,1827,59,-234.0,-27358.0,80.45,31.87,32.4,0.678,0.5625
FA_SD20_R03_MA2_RT100,20.0,6.0,2,1.0,7608,3835,3773,0.5041,3835,3773,0.5041,13508.0,-59322.0,72830.0,1.0213,0.9127,161.6691,-180.0485,70981.0,-0.8357,3,3260.98,1771,1104,4733,135152.0,195331.0,-389805.0,1902,59,1637.0,-57685.0,100.36,39.01,36.11,0.5932,0.5034
FA_SD20_R03_MA2_RT50,20.0,6.0,2,0.5,15251,10272,4979,0.6735,10272,4979,0.6735,49108.0,-77958.0,127066.0,1.0587,0.913,79.6716,-180.0251,80485.0,-0.9686,3,1642.01,5698,2620,6933,208497.0,254689.0,-541144.0,1649,59,-689.0,-78647.0,50.61,21.17,28.28,0.8136,0.673
FA_SD20_R03_MA2_RT60,20.0,6.0,2,0.6,12794,8059,4735,0.6299,8059,4735,0.6299,31474.0,-79452.0,110926.0,1.0396,0.9067,95.8413,-179.9022,82377.0,-0.9645,3,1954.68,4272,2136,6386,189740.0,240728.0,-509920.0,1794,59,703.0,-78749.0,60.55,24.63,29.4,0.7288,0.6294
FA_SD20_R03_MA2_RT70,20.0,6.0,2,0.7,10870,6480,4390,0.5961,6480,4390,0.5961,37778.0,-59508.0,97286.0,1.0512,0.9247,112.7356,-179.9624,63182.0,-0.9419,3,2299.42,3273,1772,5825,171786.0,227935.0,-459229.0,1792,59,248.0,-59260.0,70.51,28.49,31.17,0.6949,0.5956
FA_SD20_R03_MA2_RT80,20.0,6.0,2,0.8,9595,5404,4191,0.5632,5404,4191,0.5632,20114.0,-67576.0,87690.0,1.0286,0.9104,127.0551,-179.9528,71027.0,-0.9514,3,2590.05,2679,1534,5382,161798.0,222522.0,-451896.0,1827,59,1726.0,-65850.0,80.45,31.87,32.4,0.678,0.5625
FA_SD20_R03_MA3_RT100,20.0,6.0,3,1.0,7608,3835,3773,0.5041,3835,3773,0.5041,14080.0,-74618.0,88698.0,1.0212,0.897,169.4467,-192.008,86004.0,-0.8676,4,3260.98,1771,1104,4733,135152.0,195331.0,-405101.0,1902,59,1869.0,-72749.0,100.36,39.01,36.11,0.5932,0.5034
FA_SD20_R03_MA3_RT50,20.0,6.0,3,0.5,15251,10272,4979,0.6735,10272,4979,0.6735,54203.0,-94303.0,148506.0,1.0619,0.9013,83.8778,-191.9855,96419.0,-0.9781,4,1642.01,5698,2620,6933,208497.0,254689.0,-557489.0,1649,59,-590.0,-94893.0,50.61,21.17,28.28,0.8136,0.673
FA_SD20_R03_MA3_RT60,20.0,6.0,3,0.6,12794,8059,4735,0.6299,8059,4735,0.6299,33493.0,-97613.0,131106.0,1.0402,0.8925,100.6064,-191.8479,100529.0,-0.971,4,1954.68,4272,2136,6386,189740.0,240728.0,-528081.0,1794,59,840.0,-96773.0,60.55,24.63,29.4,0.7288,0.6294
FA_SD20_R03_MA3_RT70,20.0,6.0,3,0.7,10870,6480,4390,0.5961,6480,4390,0.5961,38116.0,-77774.0,115890.0,1.0494,0.9077,118.0031,-191.8984,80773.0,-0.9629,4,2299.42,3273,1772,5825,171786.0,227935.0,-477495.0,1792,59,448.0,-77326.0,70.51,28.49,31.17,0.6949,0.5956
FA_SD20_R03_MA3_RT80,20.0,6.0,3,0.8,9595,5404,4191,0.5632,5404,4191,0.5632,18634.0,-86728.0,105362.0,1.0253,0.8922,132.792,-191.9198,90227.0,-0.9612,4,2590.05,2679,1534,5382,161798.0,222522.0,-471048.0,1827,59,2210.0,-84518.0,80.45,31.87,32.4,0.678,0.5625
FA_SD20_R04_MA1_RT100,20.0,8.0,1,1.0,7608,3835,3773,0.5041,3835,3773,0.5041,8290.0,-43880.0,52170.0,1.0171,0.9146,122.5009,-136.1439,52424.0,-0.837,2,3260.98,2203,5405,0,168120.0,-212000.0,0.0,1902,59,770.0,-43110.0,100.36,39.01,36.11,0.5932,0.5034
FA_SD20_R04_MA1_RT50,20.0,8.0,1,0.5,15251,10272,4979,0.6735,10272,4979,0.6735,32722.0,-62324.0,95046.0,1.0513,0.9081,59.9326,-136.1623,64171.0,-0.9712,2,1642.01,6770,8481,0,247487.0,-309811.0,0.0,1649,59,-679.0,-63003.0,50.61,21.17,28.28,0.8136,0.673
FA_SD20_R04_MA1_RT60,20.0,8.0,1,0.6,12794,8059,4735,0.6299,8059,4735,0.6299,22693.0,-59365.0,82058.0,1.0374,0.9079,72.6058,-136.113,61613.0,-0.9635,2,1954.68,5103,7691,0,226622.0,-285987.0,0.0,1794,59,197.0,-59168.0,60.55,24.63,29.4,0.7288,0.6294
FA_SD20_R04_MA1_RT70,20.0,8.0,1,0.7,10870,6480,4390,0.5961,6480,4390,0.5961,27270.0,-43992.0,71262.0,1.0485,0.9264,85.4329,-136.1269,46317.0,-0.9498,2,2299.42,3954,6916,0,207430.0,-251422.0,0.0,1792,59,-105.0,-44097.0,70.51,28.49,31.17,0.6949,0.5956
FA_SD20_R04_MA1_RT80,20.0,8.0,1,0.8,9595,5404,4191,0.5632,5404,4191,0.5632,16177.0,-47573.0,63750.0,1.0301,0.9166,96.748,-136.1009,50153.0,-0.9486,2,2590.05,3282,6313,0,198223.0,-245796.0,0.0,1827,59,690.0,-46883.0,80.45,31.87,32.4,0.678,0.5625
FA_SD20_R04_MA2_RT100,20.0,8.0,2,1.0,7608,3835,3773,0.5041,3835,3773,0.5041,10986.0,-58020.0,69006.0,1.0202,0.9015,138.4683,-156.1214,67419.0,-0.8606,3,3260.98,2203,1196,4209,168120.0,221082.0,-447222.0,1902,59,1225.0,-56795.0,100.36,39.01,36.11,0.5932,0.5034
FA_SD20_R04_MA2_RT50,20.0,8.0,2,0.5,15251,10272,4979,0.6735,10272,4979,0.6735,40941.0,-77373.0,118314.0,1.0571,0.9005,68.1449,-156.1271,79448.0,-0.9739,3,1642.01,6770,2664,5817,247487.0,279900.0,-604760.0,1649,59,-340.0,-77713.0,50.61,21.17,28.28,0.8136,0.673
FA_SD20_R04_MA2_RT60,20.0,8.0,2,0.6,12794,8059,4735,0.6299,8059,4735,0.6299,27601.0,-76229.0,103830.0,1.0405,0.8968,82.2262,-156.0486,78400.0,-0.9723,3,1954.68,5103,2248,5443,226622.0,271282.0,-574133.0,1794,59,501.0,-75728.0,60.55,24.63,29.4,0.7288,0.6294
FA_SD20_R04_MA2_RT70,20.0,8.0,2,0.7,10870,6480,4390,0.5961,6480,4390,0.5961,27510.0,-63620.0,91130.0,1.0435,0.9071,95.9046,-156.0551,65682.0,-0.9686,3,2299.42,3954,1949,4967,207430.0,265688.0,-536738.0,1792,59,185.0,-63435.0,70.51,28.49,31.17,0.6949,0.5956
FA_SD20_R04_MA2_RT80,20.0,8.0,2,0.8,9595,5404,4191,0.5632,5404,4191,0.5632,15879.0,-66703.0,82582.0,1.0263,0.898,108.6689,-156.0367,69545.0,-0.9591,3,2590.05,3282,1605,4708,198223.0,245507.0,-510433.0,1827,59,1504.0,-65199.0,80.45,31.87,32.4,0.678,0.5625
FA_SD20_R05_MA1_RT100,20.0,10.0,1,1.0,7608,3835,3773,0.5041,3835,3773,0.5041,9948.0,-40850.0,50798.0,1.0219,0.9155,115.4493,-128.1733,49127.0,-0.8315,2,3260.98,2546,5062,0,194269.0,-235119.0,0.0,1902,59,921.0,-39929.0,100.36,39.01,36.11,0.5932,0.5034
FA_SD20_R05_MA1_RT50,20.0,10.0,1,0.5,15251,10272,4979,0.6735,10272,4979,0.6735,32104.0,-59570.0,91674.0,1.0536,0.9067,56.3422,-128.2018,61094.0,-0.9751,2,1642.01,7613,7638,0,278149.0,-337719.0,0.0,1649,59,-663.0,-60233.0,50.61,21.17,28.28,0.8136,0.673
FA_SD20_R05_MA1_RT60,20.0,10.0,1,0.6,12794,8059,4735,0.6299,8059,4735,0.6299,21707.0,-57547.0,79254.0,1.0382,0.9052,68.164,-128.1692,59492.0,-0.9673,2,1954.68,5804,6990,0,257589.0,-315136.0,0.0,1794,59,219.0,-57328.0,60.55,24.63,29.4,0.7288,0.6294
FA_SD20_R05_MA1_RT70,20.0,10.0,1,0.7,10870,6480,4390,0.5961,6480,4390,0.5961,25336.0,-43574.0,68910.0,1.048,0.9226,80.1162,-128.1838,45416.0,-0.9594,2,2299.42,4542,6328,0,238214.0,-281788.0,0.0,1792,59,-139.0,-43713.0,70.51,28.49,31.17,0.6949,0.5956
FA_SD20_R05_MA1_RT80,20.0,10.0,1,0.8,9595,5404,4191,0.5632,5404,4191,0.5632,14573.0,-47197.0,61770.0,1.0289,0.9121,90.656,-128.156,49591.0,-0.9517,2,2590.05,3777,5818,0,228065.0,-275262.0,0.0,1827,59,820.0,-46377.0,80.45,31.87,32.4,0.678,0.5625
FA_SD25_MA0_RT100,25.0,10.0,0,1.0,4856,2401,2455,0.4944,2401,2455,0.4944,-5399.0,-24941.0,19542.0,0.9781,0.9026,96.2199,-104.2627,27227.0,-0.916,1,5034.78,4856,0,0,-24941.0,0.0,0.0,1237,59,-203.0,-25144.0,100.25,37.77,44.84,0.6102,0.493
FA_SD25_MA0_RT50,25.0,10.0,0,0.5,9815,6559,3256,0.6683,6559,3256,0.6683,4098.0,-35280.0,39378.0,1.0125,0.8961,46.4039,-104.313,36456.0,-0.9677,1,2526.71,9815,0,0,-35280.0,0.0,0.0,1081,59,-1318.0,-36598.0,50.42,20.9,34.76,0.7458,0.6678
FA_SD25_MA0_RT60,25.0,10.0,0,0.6,8081,5009,3072,0.6198,5009,3072,0.6198,-5581.0,-38023.0,32442.0,0.9819,0.8813,56.3464,-104.252,41077.0,-0.9257,1,3064.11,8081,0,0,-38023.0,0.0,0.0,1185,59,-975.0,-38998.0,60.36,25.25,36.64,0.7119,0.6192
FA_SD25_MA0_RT70,25.0,10.0,0,0.7,6968,4123,2845,0.5917,4123,2845,0.5917,4730.0,-23260.0,27990.0,1.0166,0.9216,66.3282,-104.2991,23410.0,-0.9936,1,3545.48,6968,0,0,-23260.0,0.0,0.0,1181,59,-464.0,-23724.0,70.35,28.54,38.48,0.678,0.591
FA_SD25_MA0_RT80,25.0,10.0,0,0.8,6019,3346,2673,0.5559,3346,2673,0.5559,587.0,-23607.0,24194.0,1.0022,0.9153,76.2304,-104.2551,24563.0,-0.9611,1,4096.38,6019,0,0,-23607.0,0.0,0.0,1187,59,-131.0,-23738.0,80.25,32.56,40.9,0.6271,0.5552
FA_SD25_R03_MA2_RT100,25.0,7.5,2,1.0,4856,2401,2455,0.4944,2401,2455,0.4944,-11705.0,-58387.0,46682.0,0.9773,0.8928,202.6264,-221.9523,62562.0,-0.9333,3,5034.78,1121,685,3050,107869.0,152585.0,-318841.0,1237,59,2508.0,-55879.0,100.25,37.77,44.84,0.6102,0.493
FA_SD25_R03_MA2_RT50,25.0,7.5,2,0.5,9815,6559,3256,0.6683,6559,3256,0.6683,5655.0,-75851.0,81506.0,1.0083,0.8951,98.6971,-222.1146,79554.0,-0.9535,3,2526.71,3690,1718,4407,171478.0,211417.0,-458746.0,1081,59,-882.0,-76733.0,50.42,20.9,34.76,0.7458,0.6678
FA_SD25_R03_MA2_RT60,25.0,7.5,2,0.6,8081,5009,3072,0.6198,5009,3072,0.6198,-12285.0,-82567.0,70282.0,0.981,0.8789,119.6472,-221.9661,88251.0,-0.9356,3,3064.11,2677,1348,4056,150958.0,192823.0,-426348.0,1185,59,-487.0,-83054.0,60.36,25.25,36.64,0.7119,0.6192
FA_SD25_R03_MA2_RT70,25.0,7.5,2,0.7,6968,4123,2845,0.5917,4123,2845,0.5917,7427.0,-54811.0,62238.0,1.0124,0.9132,139.9243,-222.0453,55103.0,-0.9947,3,3545.48,2112,1150,3706,140217.0,187382.0,-382410.0,1181,59,995.0,-53816.0,70.35,28.54,38.48,0.678,0.591
FA_SD25_R03_MA2_RT80,25.0,7.5,2,0.8,6019,3346,2673,0.5559,3346,2673,0.5559,-7044.0,-62170.0,55126.0,0.9875,0.8952,158.7836,-222.0202,63002.0,-0.9868,3,4096.38,1684,937,3398,128445.0,171428.0,-362043.0,1187,59,1517.0,-60653.0,80.25,32.56,40.9,0.6271,0.5552
FA_SD25_R03_MA3_RT100,25.0,7.5,3,1.0,4856,2401,2455,0.4944,2401,2455,0.4944,-11516.0,-68522.0,57006.0,0.9787,0.8817,212.6497,-235.8835,72356.0,-0.947,4,5034.78,1121,685,3050,107869.0,152585.0,-328976.0,1237,59,3121.0,-65401.0,100.25,37.77,44.84,0.6102,0.493
FA_SD25_R03_MA3_RT50,25.0,7.5,3,0.5,9815,6559,3256,0.6683,6559,3256,0.6683,3722.0,-91664.0,95386.0,1.0052,0.8808,103.2337,-236.11,95407.0,-0.9608,4,2526.71,3690,1718,4407,171478.0,211417.0,-474559.0,1081,59,-564.0,-92228.0,50.42,20.9,34.76,0.7458,0.6678
FA_SD25_R03_MA3_RT60,25.0,7.5,3,0.6,8081,5009,3072,0.6198,5009,3072,0.6198,-12074.0,-95444.0,83370.0,0.9821,0.8683,125.6211,-235.8984,101548.0,-0.9399,4,3064.11,2677,1348,4056,150958.0,192823.0,-439225.0,1185,59,-305.0,-95749.0,60.36,25.25,36.64,0.7119,0.6192
FA_SD25_R03_MA3_RT70,25.0,7.5,3,0.7,6968,4123,2845,0.5917,4123,2845,0.5917,4402.0,-69832.0,74234.0,1.007,0.896,145.9285,-236.0264,70118.0,-0.9959,4,3545.48,2112,1150,3706,140217.0,187382.0,-397431.0,1181,59,1408.0,-68424.0,70.35,28.54,38.48,0.678,0.591
FA_SD25_R03_MA3_RT80,25.0,7.5,3,0.8,6019,3346,2673,0.5559,3346,2673,0.5559,-6822.0,-73256.0,66434.0,0.9884,0.8838,166.5944,-235.945,73780.0,-0.9929,4,4096.38,1684,937,3398,128445.0,171428.0,-373129.0,1187,59,1672.0,-71584.0,80.25,32.56,40.9,0.6271,0.5552
FA_SD25_R04_MA1_RT100,25.0,10.0,1,1.0,4856,2401,2455,0.4944,2401,2455,0.4944,-7014.0,-40508.0,33494.0,0.9822,0.9018,155.0154,-168.1059,43660.0,-0.9278,2,5034.78,1368,3488,0,131617.0,-172125.0,0.0,1237,59,1026.0,-39482.0,100.25,37.77,44.84,0.6102,0.493
FA_SD25_R04_MA1_RT50,25.0,10.0,1,0.5,9815,6559,3256,0.6683,6559,3256,0.6683,7507.0,-53643.0,61150.0,1.0144,0.9021,75.3205,-168.2033,56502.0,-0.9494,2,2526.71,4372,5443,0,203059.0,-256702.0,0.0,1081,59,-1185.0,-54828.0,50.42,20.9,34.76,0.7458,0.6678
FA_SD25_R04_MA1_RT60,25.0,10.0,1,0.6,8081,5009,3072,0.6198,5009,3072,0.6198,-8506.0,-60424.0,51918.0,0.9827,0.883,91.0116,-168.0667,65510.0,-0.9224,2,3064.11,3212,4869,0,181099.0,-241523.0,0.0,1185,59,-650.0,-61074.0,60.36,25.25,36.64,0.7119,0.6192
