experiment	detector_name	profile	source_id	drawdown_budget_ticks	velocity_threshold_sec	consecutive_adds_threshold	cooldown_sec	step_widen_factor	max_levels_reduction	retracement_reset_pct	precursor_min_signals	cycle_pf	n_cycles	win_rate	total_pnl_ticks	max_drawdown_ticks	sharpe	worst_cycle_dd	max_level_exposure_pct	tail_ratio	calmar_ratio	sortino_ratio	winning_session_pct	max_dd_duration_bars	bars_processed	l1_triggers	l2_triggers	l3_triggers	worst_dd_reduction	max_level_pct_reduction	pnl_impact_ticks	tail_ratio_delta	n_td_flatten_cycles	l3_recovery_bars_avg
2	drawdown_sweep_30	SAFEST	bar_data_250vol_rot	30.0	0.001	999	300.0	1.5	1	0.3	99	0.4089	3701	0.3459	-25285.0	25318.0	-0.2758	884.0	0.0	0.7731	-0.9987	-0.2971	0.0	7408	66539	0	0	3696	-131.0	0.0	-28391.0	0.19930000000000003	3696	2.0
2	drawdown_sweep_40	SAFEST	bar_data_250vol_rot	40.0	0.001	999	300.0	1.5	1	0.3	99	0.4618	3701	0.3594	-22168.0	22260.0	-0.2566	676.0	0.0	0.8233	-0.9959	-0.3051	5.41	7409	66539	0	0	3696	77.0	0.0	-25274.0	0.24950000000000006	3696	2.0
2	drawdown_sweep_50	SAFEST	bar_data_250vol_rot	50.0	0.001	999	300.0	1.5	1	0.3	99	0.4494	3701	0.3577	-22548.0	22605.0	-0.2088	1284.0	0.0	0.8067	-0.9975	-0.2031	5.41	7412	66539	0	0	3696	-531.0	0.0	-25654.0	0.2329	3696	2.0
2	drawdown_sweep_60	SAFEST	bar_data_250vol_rot	60.0	0.001	999	300.0	1.5	1	0.3	99	0.4602	3701	0.3558	-22700.0	22733.0	-0.2492	708.0	0.0	0.8328	-0.9985	-0.3096	5.41	7413	66539	0	0	3696	45.0	0.0	-25806.0	0.259	3696	2.0
2	drawdown_sweep_80	SAFEST	bar_data_250vol_rot	80.0	0.001	999	300.0	1.5	1	0.3	99	0.4454	3700	0.3578	-22914.0	22971.0	-0.1833	1652.0	0.0	0.7993	-0.9975	-0.1674	5.41	7428	66539	0	0	3695	-899.0	0.0	-26020.0	0.22550000000000003	3695	2.0
2	drawdown_sweep_100	SAFEST	bar_data_250vol_rot	100.0	0.001	999	300.0	1.5	1	0.3	99	0.4458	3700	0.3522	-23697.0	23819.0	-0.1558	2164.0	0.0	0.8201	-0.9949	-0.1368	2.7	7430	66539	0	0	3695	-1411.0	0.0	-26803.0	0.24630000000000007	3695	2.0
2	drawdown_sweep_30	SAFEST	bar_data_250tick_rot	30.0	0.001	999	300.0	1.5	1	0.3	99	0.4945	3394	0.3556	-19506.0	19420.0	-0.2118	105.0	0.0	0.8963	-1.0044	-0.3976	8.11	6791	61085	0	0	3394	4551.0	0.0	-20509.0	0.8906	3394	2.0
2	drawdown_sweep_40	SAFEST	bar_data_250tick_rot	40.0	0.001	999	300.0	1.5	1	0.3	99	0.4945	3394	0.3556	-19506.0	19420.0	-0.2118	105.0	0.0	0.8963	-1.0044	-0.3976	8.11	6791	61085	0	0	3394	4551.0	0.0	-20509.0	0.8906	3394	2.0
2	drawdown_sweep_50	SAFEST	bar_data_250tick_rot	50.0	0.001	999	300.0	1.5	1	0.3	99	0.4945	3394	0.3556	-19506.0	19420.0	-0.2118	105.0	0.0	0.8963	-1.0044	-0.3976	8.11	6791	61085	0	0	3394	4551.0	0.0	-20509.0	0.8906	3394	2.0
2	drawdown_sweep_60	SAFEST	bar_data_250tick_rot	60.0	0.001	999	300.0	1.5	1	0.3	99	0.4584	3394	0.3609	-21212.0	21208.0	-0.2947	155.0	0.0	0.8117	-1.0002	-0.4198	5.41	6758	61085	0	0	3394	4501.0	0.0	-22215.0	0.8059999999999999	3394	2.0
2	drawdown_sweep_80	SAFEST	bar_data_250tick_rot	80.0	0.001	999	300.0	1.5	1	0.3	99	0.4584	3394	0.3609	-21212.0	21208.0	-0.2947	155.0	0.0	0.8117	-1.0002	-0.4198	5.41	6758	61085	0	0	3394	4501.0	0.0	-22215.0	0.8059999999999999	3394	2.0
2	drawdown_sweep_100	SAFEST	bar_data_250tick_rot	100.0	0.001	999	300.0	1.5	1	0.3	99	0.4688	3394	0.3633	-20420.0	20294.0	-0.2828	126.0	0.0	0.8212	-1.0062	-0.412	5.41	6795	61085	0	0	3394	4530.0	0.0	-21423.0	0.8155	3394	2.0
2	drawdown_sweep_30	SAFEST	bar_data_10sec_rot	30.0	0.001	999	300.0	1.5	1	0.3	99	0.3162	2266	0.2688	-13973.0	14046.0	-0.2909	709.0	0.0	0.8605	-0.9948	-0.2959	0.0	4544	70200	0	0	2265	4746.0	0.0	-14530.0	0.8494	2265	2.0
2	drawdown_sweep_40	SAFEST	bar_data_10sec_rot	40.0	0.001	999	300.0	1.5	1	0.3	99	0.3162	2266	0.2688	-13973.0	14046.0	-0.2909	709.0	0.0	0.8605	-0.9948	-0.2959	0.0	4544	70200	0	0	2265	4746.0	0.0	-14530.0	0.8494	2265	2.0
2	drawdown_sweep_50	SAFEST	bar_data_10sec_rot	50.0	0.001	999	300.0	1.5	1	0.3	99	0.3162	2266	0.2688	-13973.0	14046.0	-0.2909	709.0	0.0	0.8605	-0.9948	-0.2959	0.0	4544	70200	0	0	2265	4746.0	0.0	-14530.0	0.8494	2265	2.0
