experiment	detector_name	profile	source_id	drawdown_budget_ticks	velocity_threshold_sec	consecutive_adds_threshold	cooldown_sec	step_widen_factor	max_levels_reduction	retracement_reset_pct	precursor_min_signals	cycle_pf	n_cycles	win_rate	total_pnl_ticks	max_drawdown_ticks	sharpe	worst_cycle_dd	max_level_exposure_pct	tail_ratio	calmar_ratio	sortino_ratio	winning_session_pct	max_dd_duration_bars	bars_processed	l1_triggers	l2_triggers	l3_triggers	worst_dd_reduction	max_level_pct_reduction	pnl_impact_ticks	tail_ratio_delta	n_td_flatten_cycles	l3_recovery_bars_avg
1	drawdown_budget	SAFEST	bar_data_250tick_rot	50.0	0.001	999	300.0	1.5	1	0.3	99	0.4945	3394	0.3556	-19506.0	19420.0	-0.2118	105.0	0.0	0.8963	-1.0044	-0.3976	8.11	6791	61085	0	0	3394	4551.0	0.0	-20509.0	0.8906	3394	2.0
1	retracement	SAFEST	bar_data_10sec_rot	999999.0	0.001	999	300.0	1.5	1	0.3	99	1.1021	100	0.99	557.0	5455.0	0.0101	5455.0	0.0	0.0111	0.1021	0.0	88.89	32481	70200	56365	0	0	0.0	0.0	0.0	0.0	0	0.0
1	velocity	SAFEST	bar_data_10sec_rot	999999.0	60.0	999	300.0	1.5	1	0.3	99	1.1021	100	0.99	557.0	5455.0	0.0101	5455.0	0.0	0.0111	0.1021	0.0	88.89	32481	70200	56365	0	0	0.0	0.0	0.0	0.0	0	0.0
1	consecutive_adds	SAFEST	bar_data_10sec_rot	999999.0	0.001	3	300.0	1.5	1	0.3	99	1.1021	100	0.99	557.0	5455.0	0.0101	5455.0	0.0	0.0111	0.1021	0.0	88.89	32481	70200	67472	0	0	0.0	0.0	0.0	0.0	0	0.0
1	drawdown_budget	SAFEST	bar_data_10sec_rot	50.0	0.001	999	300.0	1.5	1	0.3	99	0.3162	2266	0.2688	-13973.0	14046.0	-0.2909	709.0	0.0	0.8605	-0.9948	-0.2959	0.0	4544	70200	0	0	2265	4746.0	0.0	-14530.0	0.8494	2265	2.0
1	retracement	MOST_CONSISTENT	bar_data_250vol_rot	999999.0	0.001	999	300.0	1.5	1	0.3	99	2.2037	624	0.9583	10537.0	8569.0	0.049	8569.0	0.0	0.0958	1.2297	0.0097	94.44	14206	66539	38880	0	0	0.0	0.0	0.0	0.0	0	0.0
1	velocity	MOST_CONSISTENT	bar_data_250vol_rot	999999.0	60.0	999	300.0	1.5	1	0.3	99	1.345	402	0.9751	3366.0	9699.0	0.0173	9699.0	0.0	0.0343	0.347	0.0026	93.75	15180	66539	41675	0	0	-1130.0	0.0	-7171.0	-0.0615	0	0.0
1	consecutive_adds	MOST_CONSISTENT	bar_data_250vol_rot	999999.0	0.001	3	300.0	1.5	1	0.3	99	2.1707	618	0.9579	10248.0	8569.0	0.0479	8569.0	0.0	0.0953	1.1959	0.0095	94.44	14206	66539	60585	0	0	0.0	0.0	-289.0	-0.0005000000000000004	0	0.0
1	drawdown_budget	MOST_CONSISTENT	bar_data_250vol_rot	50.0	0.001	999	300.0	1.5	1	0.3	99	0.4577	3697	0.3614	-22171.0	22040.0	-0.2941	143.0	0.0	0.8089	-1.0059	-0.4313	8.11	7401	66539	0	0	3697	8426.0	0.0	-32708.0	0.7131	3697	2.0
1	retracement	MOST_CONSISTENT	bar_data_250tick_rot	999999.0	0.001	999	300.0	1.5	1	0.3	99	1.7928	702	0.8946	8265.0	9644.0	0.0322	9644.0	0.0	0.2112	0.857	0.0097	93.33	13791	61085	37643	0	0	0.0	0.0	0.0	0.0	0	0.0
1	velocity	MOST_CONSISTENT	bar_data_250tick_rot	999999.0	60.0	999	300.0	1.5	1	0.3	99	1.3686	562	0.9128	4034.0	10514.0	0.0161	10514.0	0.0	0.1307	0.3837	0.0046	92.31	19972	61085	40801	0	0	-870.0	0.0	-4231.0	-0.08049999999999999	0	0.0
1	consecutive_adds	MOST_CONSISTENT	bar_data_250tick_rot	999999.0	0.001	3	300.0	1.5	1	0.3	99	1.8073	694	0.9035	8343.0	9644.0	0.0327	9644.0	0.0	0.1931	0.8651	0.0094	93.33	13791	61085	57477	0	0	0.0	0.0	78.0	-0.018100000000000005	0	0.0
1	drawdown_budget	MOST_CONSISTENT	bar_data_250tick_rot	50.0	0.001	999	300.0	1.5	1	0.3	99	0.4814	3396	0.3693	-20388.0	20478.0	-0.2596	145.0	0.0	0.8223	-0.9956	-0.3947	5.41	6792	61085	0	0	3394	9499.0	0.0	-28653.0	0.6111	3394	2.0
1	retracement	MOST_CONSISTENT	bar_data_10sec_rot	999999.0	0.001	999	300.0	1.5	1	0.3	99	1.7218	368	0.9212	11363.0	13981.0	0.0396	13981.0	27.72	0.1473	0.8127	0.0121	86.67	21735	70200	49057	0	0	0.0	0.0	0.0	0.0	0	0.0
1	velocity	MOST_CONSISTENT	bar_data_10sec_rot	999999.0	60.0	999	300.0	1.5	1	0.3	99	1.7486	388	0.9149	11622.0	13406.0	0.0409	13406.0	25.26	0.1625	0.8669	0.0131	86.67	21731	70200	49739	0	0	575.0	2.4599999999999973	259.0	0.015200000000000019	0	0.0
1	consecutive_adds	MOST_CONSISTENT	bar_data_10sec_rot	999999.0	0.001	3	300.0	1.5	1	0.3	99	1.73	368	0.9239	11458.0	13981.0	0.04	13981.0	27.72	0.1425	0.8195	0.012	86.67	21735	70200	64203	0	0	0.0	0.0	95.0	-0.004799999999999999	0	0.0
1	drawdown_budget	MOST_CONSISTENT	bar_data_10sec_rot	50.0	0.001	999	300.0	1.5	1	0.3	99	0.3452	2265	0.2636	-13807.0	13849.0	-0.2974	106.0	0.0	0.9644	-0.997	-0.5012	3.33	4549	70200	0	0	2264	13875.0	27.72	-25170.0	0.8171	2264	2.0
