config_id,label,sd,hs,mcs,regime,count,pct_of_total,avg_net_pnl,total_net_pnl,avg_mfe,avg_mae
19,depth_3,10.00,88.00,8,fast_trend,0,0.00,0.00,0.00,0.00,0.00
19,depth_3,10.00,88.00,8,trend_overcame,743,0.05,-3561.02,-2645839.00,16.13,88.33
19,depth_3,10.00,88.00,8,eod_incomplete,58,0.00,-323.58,-18767.50,19.73,38.73
19,depth_3,10.00,88.00,8,data_end,0,0.00,0.00,0.00,0.00,0.00
23,depth_3,10.00,210.00,8,clean_rotation,6610,0.51,199.68,1319875.00,40.64,14.64
23,depth_3,10.00,210.00,8,martingale_save,6115,0.47,192.06,1174429.00,20.24,57.26
23,depth_3,10.00,210.00,8,fast_trend,0,0.00,0.00,0.00,0.00,0.00
23,depth_3,10.00,210.00,8,trend_overcame,262,0.02,-8438.53,-2210896.00,17.06,210.26
23,depth_3,10.00,210.00,8,eod_incomplete,58,0.00,-589.06,-34165.50,17.62,46.73
23,depth_3,10.00,210.00,8,data_end,0,0.00,0.00,0.00,0.00,0.00
