step_dist,hard_stop,max_fades,cycle_count,win_count,loss_count,win_rate,gross_er,net_er,sigma,max_consec_losses,p_pass_eval,p_pass_funded,prop_score,kelly_r,total_gross_pnl_ticks,total_net_pnl_dollars
20.0,40.0,3,8415,2875,5540,0.34165181224004754,4.47,0.47,285.39,17,0.406876,0.670472,0.001333,0.002288,7516.0,3920.0
15.0,120.0,3,7021,5621,1400,0.8005982053838484,6.6,0.63,596.9,5,0.402121,0.667843,0.000861,0.000706,9266.0,4418.0
15.0,120.0,0,7024,5623,1401,0.8005410022779044,6.51,0.55,596.97,5,0.40184,0.667688,0.000747,0.000613,9152.0,3836.0
15.0,120.0,5,7024,5623,1401,0.8005410022779044,6.51,0.55,596.97,5,0.40184,0.667688,0.000747,0.000613,9152.0,3836.0
25.0,30.0,0,6775,1623,5152,0.23955719557195573,4.0,0.0,277.43,27,0.400058,0.666699,1.1e-05,1.9e-05,5425.0,25.0
20.0,80.0,3,5817,2932,2885,0.5040398831012549,3.91,-0.09,400.03,12,0.3993,0.666278,-0.000191,-0.000233,4545.0,-543.0
10.0,40.0,3,23108,11740,11368,0.5080491604639086,3.86,-0.14,202.17,14,0.395816,0.664337,-0.000576,-0.001396,17827.0,-3297.0
25.0,30.0,5,6734,1610,5124,0.2390852390852391,3.77,-0.23,277.32,31,0.396479,0.664707,-0.000665,-0.001175,5083.0,-1521.0
10.0,120.0,0,12640,10837,1803,0.8573575949367088,5.4,-0.59,488.72,5,0.397047,0.665023,-0.000983,-0.000985,13648.0,-7436.0
10.0,120.0,5,12640,10837,1803,0.8573575949367088,5.4,-0.59,488.72,5,0.397047,0.665023,-0.000983,-0.000985,13648.0,-7436.0
25.0,60.0,5,5060,1928,3132,0.38102766798418974,3.48,-0.52,388.14,17,0.395881,0.664373,-0.001089,-0.001375,3524.0,-2620.0
10.0,120.0,3,12625,10823,1802,0.8572673267326733,5.27,-0.72,488.85,5,0.396393,0.664659,-0.001201,-0.001204,13306.0,-9078.0
10.0,40.0,0,23303,11824,11479,0.5074024803673347,3.63,-0.37,202.18,14,0.389223,0.660643,-0.001487,-0.003604,16926.0,-8582.0
30.0,120.0,5,2605,1310,1295,0.5028790786948176,2.61,-1.39,596.84,12,0.395312,0.664055,-0.001906,-0.001565,1358.0,-3630.0
10.0,40.0,5,23283,11807,11476,0.507108190525276,3.51,-0.49,202.18,14,0.385786,0.658705,-0.001964,-0.004758,16362.0,-11322.0
25.0,60.0,0,5070,1929,3141,0.3804733727810651,3.04,-0.96,388.04,17,0.392362,0.662405,-0.002021,-0.002552,3082.0,-4870.0
50.0,30.0,5,1960,269,1691,0.13724489795918368,3.03,-0.97,390.12,36,0.392334,0.662389,-0.00204,-0.002561,1186.0,-1910.0
15.0,40.0,0,13399,5453,7946,0.40697066945294424,3.27,-0.73,247.09,20,0.385648,0.658628,-0.002423,-0.004804,8754.0,-9826.0
15.0,40.0,5,13373,5441,7932,0.4068645778808046,3.22,-0.78,247.09,20,0.384643,0.65806,-0.002594,-0.005143,8599.0,-10497.0
25.0,30.0,3,6440,1533,4907,0.23804347826086958,3.06,-0.94,276.91,28,0.385411,0.658494,-0.002761,-0.004884,3946.0,-6030.0
50.0,30.0,0,1989,272,1717,0.13675213675213677,2.52,-1.48,389.6,38,0.388311,0.660129,-0.003109,-0.00391,1001.0,-2951.0
25.0,60.0,3,4964,1885,3079,0.37973408541498793,2.48,-1.52,387.92,15,0.387945,0.659923,-0.003193,-0.004033,2465.0,-7531.0
10.0,30.0,0,27915,12211,15704,0.4374350707504926,3.28,-0.72,175.97,16,0.372334,0.651045,-0.003342,-0.009304,18311.0,-20105.0
10.0,30.0,5,27895,12202,15693,0.4374260620182828,3.27,-0.73,175.96,16,0.372144,0.650936,-0.003365,-0.009369,18270.0,-20230.0
10.0,30.0,3,27527,12038,15489,0.43731608965742724,3.23,-0.77,175.97,14,0.370441,0.649957,-0.003573,-0.009947,17782.0,-21198.0
30.0,120.0,0,2605,1307,1298,0.5017274472168906,1.22,-2.78,596.84,12,0.39065,0.661445,-0.003807,-0.003125,634.0,-7250.0
20.0,80.0,0,5841,2931,2910,0.5017976373908577,2.08,-1.92,400.02,12,0.385638,0.658622,-0.003926,-0.004808,2426.0,-11234.0
30.0,30.0,0,4951,1019,3932,0.20581700666532013,2.25,-1.75,302.32,29,0.377161,0.653809,-0.004732,-0.007668,2226.0,-8674.0
30.0,80.0,3,3293,1329,1964,0.4035833586395384,1.04,-2.96,488.32,11,0.385156,0.65835,-0.004954,-0.00497,683.0,-9757.0
20.0,80.0,5,5836,2924,2912,0.5010281014393421,1.46,-2.54,400.02,12,0.381074,0.656037,-0.005181,-0.006345,1706.0,-14814.0
30.0,30.0,3,4654,956,3698,0.20541469703480877,1.75,-2.25,301.99,27,0.370729,0.650123,-0.006072,-0.009849,1633.0,-10451.0
15.0,20.0,5,18042,4667,13375,0.2586742046336326,2.66,-1.34,176.7,30,0.349369,0.637651,-0.006199,-0.017185,9593.0,-24203.0
30.0,30.0,5,4907,1006,3901,0.20501324638271856,1.62,-2.38,301.86,29,0.369026,0.649141,-0.006426,-0.010429,1594.0,-11658.0
15.0,20.0,0,18154,4693,13461,0.25851052109727884,2.6,-1.4,176.67,30,0.347249,0.636392,-0.006463,-0.017921,9446.0,-25386.0
50.0,30.0,3,1827,248,1579,0.13574165298303228,0.72,-3.28,387.66,35,0.374043,0.652026,-0.006903,-0.008724,264.0,-5988.0
50.0,60.0,0,1677,396,1281,0.23613595706618962,-1.23,-5.23,544.0,20,0.378937,0.654822,-0.007847,-0.007067,-412.0,-8768.0
15.0,20.0,3,17320,4465,12855,0.2577944572748268,2.28,-1.72,176.52,30,0.335445,0.629312,-0.007946,-0.022053,7905.0,-29755.0
15.0,30.0,3,15060,5100,9960,0.3386454183266932,1.84,-2.16,214.48,18,0.344777,0.63492,-0.008223,-0.018782,5542.0,-32530.0
50.0,60.0,3,1592,374,1218,0.23492462311557788,-2.06,-6.06,543.62,24,0.375593,0.652913,-0.009098,-0.008199,-655.0,-9643.0
50.0,80.0,0,1522,442,1080,0.290407358738502,-3.15,-7.15,626.32,19,0.378273,0.654443,-0.009322,-0.007291,-959.0,-10883.0
10.0,20.0,5,34318,11720,22598,0.34151174310857274,2.21,-1.79,144.76,19,0.301599,0.608241,-0.010121,-0.034251,15138.0,-61582.0
25.0,80.0,3,4218,1871,2347,0.4435751541014699,-1.6,-5.6,446.38,12,0.366621,0.647752,-0.01025,-0.011249,-1353.0,-23637.0
30.0,20.0,0,5408,792,4616,0.14644970414201183,0.89,-3.11,246.94,52,0.340207,0.632184,-0.010273,-0.02038,966.0,-16802.0
15.0,30.0,5,15435,5207,10228,0.3373501781665047,1.25,-2.75,214.28,19,0.330036,0.626025,-0.010482,-0.023965,3856.0,-42460.0
30.0,80.0,0,3341,1337,2004,0.400179586950015,-2.33,-6.33,487.66,14,0.368401,0.648781,-0.010594,-0.010642,-1555.0,-21139.0
10.0,20.0,0,34393,11736,22657,0.3412322274881517,2.12,-1.88,144.74,18,0.297211,0.605416,-0.0106,-0.035878,14590.0,-64622.0
15.0,30.0,0,15487,5223,10264,0.33725059727513396,1.21,-2.79,214.26,19,0.32901,0.625398,-0.010641,-0.02433,3741.0,-43243.0
50.0,60.0,5,1671,392,1279,0.234590065828845,-3.26,-7.26,542.65,26,0.370687,0.650098,-0.010926,-0.009864,-1090.0,-12134.0
30.0,20.0,5,5332,779,4553,0.14609902475618905,0.63,-3.37,246.66,50,0.335106,0.629107,-0.011164,-0.022173,669.0,-17983.0
50.0,80.0,5,1520,439,1081,0.2888157894736842,-5.39,-9.39,625.21,19,0.371443,0.650533,-0.012261,-0.009607,-1638.0,-14270.0
10.0,20.0,3,33483,11387,22096,0.3400830272078368,1.76,-2.24,144.63,21,0.278923,0.593377,-0.012632,-0.042788,11802.0,-74922.0
30.0,80.0,5,3337,1331,2006,0.3988612526221157,-3.65,-7.65,487.38,14,0.361825,0.644968,-0.012823,-0.01289,-2439.0,-25543.0
50.0,80.0,3,1457,420,1037,0.2882635552505148,-6.5,-10.5,624.74,17,0.368043,0.648574,-0.013727,-0.010764,-1895.0,-15303.0
30.0,20.0,3,4993,722,4271,0.1446024434207891,-0.54,-4.54,245.47,45,0.312837,0.615374,-0.0151,-0.030136,-539.0,-22667.0
50.0,120.0,0,1275,478,797,0.3749019607843137,-10.15,-14.15,763.2,14,0.37112,0.650348,-0.015137,-0.009717,-2588.0,-18040.0
50.0,120.0,5,1275,478,797,0.3749019607843137,-10.15,-14.15,763.2,14,0.37112,0.650348,-0.015137,-0.009717,-2588.0,-18040.0
25.0,80.0,0,4273,1883,2390,0.44067399953194475,-4.36,-8.36,445.99,15,0.350418,0.638272,-0.015314,-0.016821,-3730.0,-35742.0
20.0,30.0,0,9782,2674,7108,0.273359231241055,-0.69,-4.69,245.9,30,0.310306,0.61378,-0.015589,-0.031057,-1359.0,-45923.0
25.0,80.0,5,4267,1878,2389,0.4401218654792594,-4.86,-8.86,445.93,15,0.347531,0.63656,-0.016224,-0.017823,-4148.0,-37808.0
30.0,60.0,3,3729,1233,2496,0.33065164923572005,-4.52,-8.52,421.82,22,0.343731,0.634295,-0.016486,-0.019147,-3369.0,-31761.0
20.0,30.0,3,9373,2556,6817,0.27269817561079696,-1.07,-5.07,245.72,28,0.303455,0.609429,-0.016836,-0.033567,-2000.0,-47492.0
